Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,Rachel K. Laurgaard,Full name,18,6,24,0.055,1949–1951
Relief Society Magazine,Archibald F. Bennett,Full name,17,13,30,0.057,1950–1953
Relief Society Magazine,Fay Tarlock,Full name,17,7,24,0.033,1948–1956
Relief Society Magazine,Joseph Fielding Smith,Full name,17,29,46,0.071,1923–1970
Relief Society Magazine,Peggy Tangren,Full name,17,0,17,0.016,1964–1970
Relief Society Magazine,W. Madsen,Full name,17,15,32,0.089,1961–1970
Relief Society Magazine,Alice Louise Reynolds,Full name,16,27,43,0.063,1917–1939
Relief Society Magazine,Annie D. Palmer,Full name,16,19,35,0.04,1916–1932
Relief Society Magazine,Grace Barker Wilson,Full name,16,0,16,0.052,1951–1965
Relief Society Magazine,Grace Ingles Frost,Full name,16,0,16,0.059,1918–1959
Relief Society Magazine,Jean Cox,Full name,16,25,41,0.048,1925–1937
Relief Society Magazine,Ruth Moench Bell,Full name,16,6,22,0.042,1916–1931
Relief Society Magazine,S. Ballif,Full name,16,19,35,0.074,1961–1965
Relief Society Magazine,Blanche Kendall Mckey,Full name,15,12,27,0.038,1932–1965
Relief Society Magazine,Hazel D. Moyle,Full name,15,1,16,0.091,1943–1950
Relief Society Magazine,K. Watson,Full name,15,9,24,0.068,1969–1970
Relief Society Magazine,Kathryn Kay,Full name,15,0,15,0.023,1965–1970
Relief Society Magazine,Louise Y. Robison,Full name,15,20,35,0.099,1928–1943
Relief Society Magazine,Margaret B. Shomaker,Full name,15,0,15,0.073,1949–1970
Relief Society Magazine,Preston Nibley,Full name,15,21,36,0.057,1932–1963
Relief Society Magazine,Albert R. Bowen,Full name,14,4,18,0.055,1953–1956
Relief Society Magazine,David O. Mckay,Full name,14,13,27,0.077,1934–1967
Relief Society Magazine,Elsie Chamberlain Carroll,Full name,14,14,28,0.032,1915–1957
Relief Society Magazine,Gene Romolo,Full name,14,8,22,0.093,1946–1955
Relief Society Magazine,Harrison R. Merrill,Full name,14,19,33,0.045,1924–1938
Relief Society Magazine,Hazel M. Thomson,Full name,14,7,21,0.04,1938–1967
Relief Society Magazine,Jones Gabbott,Full name,14,0,14,0.082,1964–1970
Relief Society Magazine,Linnie Fisher Robinson,Full name,14,0,14,0.066,1929–1970
Relief Society Magazine,Lucy Wright Snow,Full name,14,21,35,0.071,1916–1928
Relief Society Magazine,Merling D. Clyde,Full name,14,17,31,0.108,1928–1948
Relief Society Magazine,Norma Wrathall,Full name,14,9,23,0.042,1943–1965
Relief Society Magazine,Pansye H. Powell,Full name,14,6,20,0.011,1950–1958
Relief Society Magazine,Vesta N. Lukei,Full name,14,7,21,0.046,1935–1957
Relief Society Magazine,Willard Luce,Full name,14,9,23,0.043,1945–1956
Relief Society Magazine,B. Bowles,Full name,13,0,13,0.103,1963–1968
Relief Society Magazine,Claire Stewart Boyer,Full name,13,5,18,0.055,1923–1938
Relief Society Magazine,Ella J. Coulam,Full name,13,88,101,0.052,1932–1937
Relief Society Magazine,Enola Chamberlin,Full name,13,0,13,0.08,1953–1969
Relief Society Magazine,Helen Hinckley Jones,Full name,13,3,16,0.057,1939–1970
Relief Society Magazine,L. Brown,Full name,13,0,13,0.063,1966–1969
Relief Society Magazine,Vesta N. Fairbairn,Full name,13,4,17,0.083,1960–1969
Relief Society Magazine,Alice L. Reynolds,Full name,12,18,30,0.058,1922–1929
Relief Society Magazine,And Far,Full name,12,26,38,0.142,1966–1966
Relief Society Magazine,Bernice Ames,Full name,12,0,12,0.031,1959–1969
Relief Society Magazine,Beulah Huish Sadleir,Full name,12,1,13,0.068,1950–1970
Relief Society Magazine,H. Robinson,Full name,12,3,15,0.096,1963–1965
Relief Society Magazine,Harold B. Lee,Full name,12,4,16,0.059,1937–1969
Relief Society Magazine,J. Littke,Full name,12,23,35,0.033,1964–1970
Relief Society Magazine,Maud Baggarley,Full name,12,4,16,0.082,1915–1919
Relief Society Magazine,Pearle M. Olsen,Full name,12,0,12,0.076,1963–1970
Relief Society Magazine,Ruth H. Chadwick,Full name,12,0,12,0.059,1944–1965
Relief Society Magazine,Beatrice Knowlton Ekman,Full name,11,8,19,0.028,1938–1954
Relief Society Magazine,Blaine M. Porter,Full name,11,9,20,0.067,1959–1961
Relief Society Magazine,C. Jardine,Full name,11,3,14,0.085,1960–1966
Relief Society Magazine,Clara Horne Park,Full name,11,0,11,0.086,1934–1953
Relief Society Magazine,F. Cutler,Full name,11,3,14,0.048,1963–1964
Relief Society Magazine,Ida Isaacson,Full name,11,19,30,0.041,1947–1968
Relief Society Magazine,J. Reuben Clark,Full name,11,11,22,0.052,1936–1952
Relief Society Magazine,Katherine F. Larsen,Full name,11,0,11,0.045,1950–1969
Relief Society Magazine,Leone G. Layton,Full name,11,0,11,0.059,1935–1953
Relief Society Magazine,Lydia Hall,Full name,11,0,11,0.066,1930–1954
Relief Society Magazine,Milton Bennion,Full name,11,11,22,0.042,1922–1943
Relief Society Magazine,Morrey Bailey,Full name,11,13,24,0.046,1958–1970
Relief Society Magazine,Nellie O. Parker,Full name,11,6,17,0.075,1939–1949
Relief Society Magazine,Preston R. Nibley,Full name,11,16,27,0.045,1956–1959
Relief Society Magazine,Ruth G. Rothe,Full name,11,0,11,0.053,1965–1970
