row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
2983,5.514511747724031e-4,3.6374210587631495e-4,0.0015306268491152143,0.0039715687086871836,9.94623248122199e-4,0.0012027388448359094,0.002937314818233334,6.487990090704672e-4,0.0014026563773235081,0.36876388859384185,0.06636942214169501,0.20667098601749526,0.001155673098029755,0.013980481722976702,0.0010175996453828564,0.3091686598776112,0.005731239089956465,0.013538528676974424
2984,0.01377284687254506,0.31248532707544635,0.003584590916839942,5.883815580941496e-4,0.003935325720245143,0.0012792195209001837,0.0028378108495127636,6.943119560267397e-4,0.054641820901031264,0.003995701591830853,0.030706835942133352,0.5354931575264071,4.175024664298371e-4,0.0011281052814436944,0.01863434622308953,0.00842602494392257,0.0018482791524738003,0.005530411501627719
2985,7.667490320079673e-4,8.567491863096399e-4,0.0010435532466662356,0.0012465079280247202,7.355077108849184e-4,0.001548349854579728,0.002473064252473525,0.0011046815515282176,0.003207441173507025,0.009840943333940455,0.04324362280386365,0.9071099467737296,8.532271678756444e-4,0.0027114465745035773,0.002117481286963564,0.013047743805587467,0.001759835248415937,0.006333149069138368
2986,0.01015960934954013,0.1190852375001076,0.016095469454837353,0.0024706718417430457,0.2948921496501781,0.0034449861531402307,0.0024413608822579347,0.0026872803576268914,0.06277877927739646,0.03909198888468609,0.08560557291242199,0.15284833568702486,9.589601976928104e-4,0.019094354390604574,0.009818715311745847,0.17160495545597607,0.0017363746593934957,0.005185198033626203
2987,1.0829663151027674e-4,3.0863276308689774e-5,4.4743751492760063e-4,0.06236640981097538,0.003163972497694934,0.11659414388016874,5.974524234889635e-4,0.7989040808269261,1.3304894034125666e-4,2.1725260279348705e-4,0.010729467411070552,2.4126927673414275e-4,0.005221232192427851,3.8838998143419185e-5,8.771682064139076e-4,1.5635907831271575e-4,5.153622454287474e-5,1.211702072193281e-4
2988,0.11428800951661292,0.022811066937163473,0.012241146284276005,0.007282209719312555,0.526747587973439,0.0035011421513647554,0.0020168656856992986,0.007593843842660646,0.2715899188864898,0.001713023080694911,0.018392864388130543,0.0015461229275062318,7.239889157256008e-4,4.5473154959513144e-4,0.004924841911197429,0.001224092616499253,2.860919133098001e-4,0.002662451700323045
2989,0.007631323803256113,0.004577590290686697,0.0029564259636070834,0.0041891444816048356,0.004363482539876639,4.7224342193797996e-4,0.0013538899723603164,0.0010355460262563574,0.930718491502836,0.003285571572818104,0.016438298868270747,0.007084436725039652,0.0011861689064826904,5.697430648873909e-4,0.004041269758802527,8.025413346627277e-4,0.001879957993348644,0.007413873773265804
2990,0.0010072155830165464,3.3767635276954423e-4,0.0016869398784302126,0.06331172962685737,0.004229950925114124,0.01002774353255023,0.0036223487178340783,0.026353872378926103,0.002615659968382944,0.6252809236216823,0.19255674325599098,0.029533202676062336,0.004576215201844905,0.010794746322026032,0.0021615818254945747,0.013344386271152692,0.0029700597709838746,0.005589004090880921
2991,0.0011351562688427434,0.003734247613061776,0.006570768795841995,0.00416828497581754,0.007896617855876377,0.006353705661783538,0.00300482941565759,0.004431391042736708,0.7799683506192185,0.004644246443491873,0.09871969767454121,0.017767511827922362,0.007756790638905445,0.0015853095406609358,0.028116540760228126,0.021255296843521825,5.836854958551252e-4,0.002307568526035829
2992,0.0018846408004715748,0.0928655079322115,8.776761433835664e-4,0.0015258588542930356,0.0021655288111277126,4.660170505348001e-4,9.157656215159933e-4,2.1550436252096544e-4,0.0026609203396892054,7.69616504317817e-4,0.0019074287961290547,0.003908951857526652,9.102744228761976e-5,1.1173702674773466e-4,0.8325920685837909,0.0012871612601776546,0.052512326121244846,0.0032422624920294078
2993,2.387915870265874e-4,1.7405820242028918e-4,0.0020585315718416124,0.07142833936051675,0.010626285733734402,0.29995033185127173,0.0016956395861852974,0.5023867079664092,0.001227642902801116,0.001479403474550069,0.09773362052296791,0.001836103748507632,0.0048050911367923145,3.3569687892762954e-4,0.0016878266497902133,0.0015046844572721046,2.20945121416903e-4,6.102992475680292e-4
2994,0.0037705552633593435,0.06590751733874563,0.0059518894134276655,0.004427947893058361,0.22247724477735484,9.023289486584384e-4,0.3353216711704296,0.0016065315716859247,0.002352398126416672,0.21236570980242706,0.026028229116328103,0.004064342009382396,0.0010074220185882798,0.03043339443712243,0.00890244078321273,0.07228208010224711,5.390247109802648e-4,0.0016592725165756957
2995,4.422977894185425e-4,2.1344137524100272e-4,0.0019202267403120737,0.012101943950914193,0.0023370543748324362,0.0010929090858151766,0.48595697078033556,0.0021709045284323257,0.0014728436056148356,0.22852714823507658,0.09398624301893369,0.008147430056327235,0.0030109988346925303,0.1160276486712192,0.0027369725243376044,0.03571574607040768,8.336317512255718e-4,0.003305588606863994
2996,0.018715657993915096,0.004499078963527321,0.0037694958749200313,0.010500356124850731,0.024034112584283406,0.3016809897281755,0.025817286217504114,0.03846367614141383,0.0356578088788897,0.007848139300174617,0.10583800901870401,0.1750039789313633,0.005160742581544603,0.014722659106648581,0.11363301402489807,0.009197580776924218,0.002264942766600547,0.10319247098566224
2997,0.9588524608934066,0.016498461156509485,9.842694409397956e-4,4.4029332677030566e-4,0.014452764046477539,3.931396730171801e-4,3.9013895229901633e-4,1.697542561414596e-4,0.0023049363727588794,3.8876819578507636e-4,0.0012540285819554143,5.287509818289983e-4,8.619614471617197e-6,7.321002314497555e-5,0.0011332258112766872,2.975622615112323e-4,1.604693298852189e-4,0.0016691470818207847
2998,4.5245727681655646e-4,0.0018659391167912456,0.033199387506305036,0.006194347528851742,0.011595945680433897,0.17151156475930515,0.0033013126024811802,0.26296359044131895,0.0035792869127948884,1.5614900839780403e-4,0.022247646470422152,0.02061498735686163,0.44078324620031284,1.0488620625820131e-4,0.016607837734237633,0.00373785350337395,1.757728032184581e-4,9.0778889181852e-4
2999,0.0023849921823647763,0.002359340499179474,0.0025040687665058036,0.02725431364268082,0.008892486026966758,0.11523464673651754,0.004536324832116433,0.03684499610486252,0.013870016544636479,0.12785152252328483,0.1700655762301771,0.02484819400674459,0.0013196361757268468,0.023730898339239446,0.020311733744930307,0.008293776636495184,0.3640586849871085,0.0456387920204626
3000,0.01636367618710223,0.0024234484569121903,0.5188515076040381,0.006106661858662856,0.05477226151791614,0.03501162675297573,0.00770746203837042,0.006242928709753748,0.042006441453716334,6.851266462842194e-4,0.009539746755293718,0.0057008116360418234,0.2554844350486849,5.141018376672497e-4,0.00900788702150748,0.008078947657945814,4.77660074914047e-4,0.021025268742212867
3001,0.0044203036059158865,0.002371341414660455,0.025921709901540812,0.00903798229924865,0.0031784373132814807,0.0019691407773212927,0.003676427763854367,0.002585175196937943,0.02202809580542159,0.026613935573929402,0.10570362643785253,0.7176318610916056,0.002343661121554206,0.007886139339969341,0.0034450494777043465,0.024941538526528167,0.010847328049371049,0.025398246303302927
3002,0.8612587417244442,0.003838927834838259,0.0012974265668577068,0.02422198287873828,0.009208877214952187,0.005225795950282561,0.0016568155215773838,0.02097072582831289,0.008692016609889339,0.004228102693106966,0.05027875065114449,0.002414357328472955,1.984016397873201e-4,3.8269138282176994e-4,7.3829391731035e-4,5.725233012463904e-4,5.081384686352691e-4,0.004307430487582065
3003,4.6997182374985697e-4,7.716258390081414e-5,6.675688689022192e-4,0.04534111638407197,1.2967676161253778e-4,6.302833489847105e-5,4.669243102752972e-4,2.1846913799758775e-4,3.211792668373911e-4,0.0033507848768491322,0.0031542035459942866,0.5170185190924915,3.5322580813893e-4,5.941197706620712e-4,8.15573484638997e-4,0.0031404229597999994,0.12256229212646591,0.3012557608627129
3004,0.4244444747729535,0.0016401755173592054,0.0023475086296874605,0.0026711272016921987,0.009963686989741522,0.1717068703356979,0.0048689575265656775,0.002523899811813471,0.0013189479983615584,0.033666311979093394,0.054626941254468875,0.02989237011980559,4.553049770716352e-4,0.08057619625861846,6.108865824136828e-4,0.14892810516527533,0.001256687910050726,0.028501546969329897
3005,0.003805975359743272,0.006203063152429301,0.0027904927553991325,0.002488806141387354,0.004869690498862198,0.0025993389410410893,0.0028630413887224667,0.0029832979306393718,0.8513784138402952,0.0057793762958589035,0.08348797716983934,0.013898789557513511,0.0012190294878022339,0.0020506206730599597,0.010428165996300573,0.0011393396562398986,3.3221869250351196e-4,0.0016823624623622546
3006,8.31930350220663e-5,4.259418493337076e-5,2.1848082190362823e-4,0.004131406627903717,0.0026313434667890145,0.4291649161099573,3.5569193181615196e-4,0.5500736838982803,1.1018778891160456e-4,6.169585018666486e-5,0.008746199255484375,1.8731796261387579e-4,0.0033564747505526703,2.0362754158035638e-5,6.703292593798669e-4,1.0737835938300114e-4,9.813305727679639e-6,2.8930636997389707e-5
3007,7.205008298629366e-4,9.226103755152609e-5,0.00398175176658571,0.30353639957994594,8.035425183615321e-4,5.135620989649684e-4,0.0010099452575307814,5.955131179055117e-4,1.9380690091458006e-4,0.006772849893029194,0.003438781348731374,0.015859175204411408,0.006814935676517366,7.679840095629488e-4,0.011889392832892797,0.2586665359139367,0.055963343933379456,0.32837971807991534
3008,2.649184172558825e-4,3.098541951541846e-5,0.0033001387385458505,0.11711785326109019,9.538660520378476e-4,0.0013801147679903213,0.01200991815657567,0.0037946248131345913,3.7690280710691226e-4,0.003739581818647826,0.0072967545030985445,0.002425107185790732,0.8155524288437436,5.604566751772835e-4,0.0013511884588429906,0.018958922513359826,0.004783565671706714,0.006102671896380063
3009,0.9642663846560705,0.002860861956966993,7.590398821888058e-4,0.012629844579777007,0.006428039519538425,0.0013509875123739058,0.0011717786412619746,0.001835277758860935,0.0015229536542397653,5.107657169046999e-4,0.0028750963381640794,2.834438729102305e-4,2.0177478784560917e-4,8.863710207592875e-5,0.0012526482047415634,1.577381592387953e-4,1.9389676738041108e-4,0.0016108308894604297
3010,0.004982997677849244,0.0010991488994415567,0.005016806099204807,0.14743142413597696,0.2516303721523339,0.0916177694446509,0.00468965462308637,0.22370663888866357,0.07946246889338496,0.010030455166210372,0.08860770474044123,0.07275102947539816,0.0034417163283260773,0.0017312971937567475,0.003114785447378071,0.005165379085835944,0.0011515033968256504,0.004368848351235086
3011,5.000113344283021e-4,8.218384682168782e-4,0.001616874652445571,0.010911303124605714,0.003544195193031084,0.2023842524673779,0.0011086219617177614,0.18364309535064943,0.0010718284690433718,0.006214812184805625,0.37843057229631305,0.009905889635205405,0.0011408619789916531,0.0014985866447936624,0.001029281753544476,0.002388442437041009,0.19121410189069357,0.002575430157095176
3012,0.028503639384247503,0.013161312143501334,0.4988059790115171,0.005720933840691008,0.15639269594559005,0.0023905003473470325,0.020588252683630424,0.002531635278636701,0.005849249169158902,0.006892679064242227,0.01656013610476559,0.05166853216762539,0.0765896289116786,0.0026599832856711585,0.0025348116497612076,0.0917970918190243,9.786874355986238e-4,0.016374251757312823
3013,0.0015185556543818141,0.0021317501080421334,0.0030662521389117074,0.003945284838198002,0.0021229858798272406,0.0035657489180766565,0.004075377262747336,0.0012909563157775272,0.003023353240878876,0.01475942275029319,0.05521825323470904,0.586885490440079,0.003012235978235281,0.004045327389954846,0.019813734729684698,0.2476393544087815,0.005169354154295808,0.0387165625571255
