row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
46,0.0843224710804823,0.002738184190156848,0.002596009507948357,0.011092201793095105,0.07749513593952055,0.03710190462169072,0.006195570074068598,0.06845492013712938,0.048885520274939025,0.010664681095733501,0.10732494899422487,0.0017388986242897573,0.3225786825785474,0.06061962248082183,0.15819124860735176
47,0.22148890791425163,3.559815949679896e-5,5.793854474283324e-4,0.10288074450240565,0.03360812472342562,6.426009957002134e-4,0.01109761808421186,0.0010322635856901297,0.003511413455787411,0.010160587784471636,4.7251520171956e-4,1.0865152740122926e-4,0.03837183064061674,2.298407839521472e-4,0.5757799171934411
48,0.010629616969251642,0.02489888595083873,0.004451472983012654,0.005233275047676915,0.12671109250396032,0.449144223368273,0.005857083506045271,0.12628404224542117,0.09149609300049803,0.13065828369538401,0.004304116988213467,0.0015259191579226514,0.0047590021270589485,0.0030945721024597324,0.01095232035398356
49,0.04966235937429226,0.1330472915189652,0.007291168782662261,0.0012099555883889742,0.008122734144470822,0.427316885710697,0.0026711323741220837,0.014028660045618646,0.03756562960139335,0.2297663713760221,0.022423449901559964,0.002675308020035085,0.009222565708005875,0.0018697780913484085,0.053126709762418005
50,0.01298432162497379,0.006961873915140385,0.0072936388775611,0.004742925272339142,0.006202034479678697,0.0020197553354959637,0.5525787337142974,0.1376392309131151,0.09733228076775757,0.14170893217973404,0.0012440882273149871,0.005907582535079874,0.011680985469876143,0.007255191909373372,0.004448424778262569
51,0.005209314405723207,0.0099420896787481,0.004376994989200527,0.006154795290383334,0.006528051944635072,0.007843384260221959,0.0040009044548936605,0.829349511753306,0.014973612962145602,0.09435935915010563,0.003998871255209324,0.005423975597847552,0.0023356454085859406,0.0014797510751839746,0.004023737773810162
52,0.017020365673236386,0.006034747163072958,0.0048976958931977186,0.031395550264768264,0.3438793137713935,0.0036484850562258507,0.007425288700815439,0.08678020201628076,0.07801013202555918,0.35087090527280695,0.0044041873242635,0.004139141932932127,0.013048033977228733,0.0017458109228790772,0.04670014000533947
53,0.00213492910323395,0.03030782634445404,0.0014193585863540048,0.014232278435374394,0.01787711735716582,0.017210212591681675,3.406951667600785e-4,0.009452080456507429,0.32397470354806607,0.002081378856149113,7.731500930323006e-4,2.614925360818339e-4,0.3177630241761068,0.2615916956660408,5.800570829917922e-4
54,0.13575728733146733,2.3684150210283666e-4,0.009133791222536889,0.022765958484863614,0.019628337380379324,0.0024583957812083545,0.2136792216645939,0.012424484664234556,0.020660021332912483,0.0854456935984297,0.007221133591030389,0.0017338267618652666,0.0036661234021392827,7.497306449451308e-5,0.46511391021774157
55,0.1887349204608007,0.0023290434174514374,0.007596204218941666,0.0033303198960485665,0.008889536117082462,0.011314591377581016,0.004897638757750206,0.013437967039078383,0.018713654006151367,0.49863294742633507,0.15932271229494663,0.027441437502844886,0.010672856893125278,9.255494666487227e-4,0.04376062112521364
56,0.0017341253445522196,0.6474250307124486,0.0020101165222096502,0.001755485658833465,0.01150162461092154,0.00206116959091883,7.144461317407708e-4,0.01841923090082457,0.0323480390135005,0.261756708206836,0.0011752892232514682,0.002505253524738439,0.007912242591964104,0.005319393517104408,0.0033618444501553268
57,0.002679592972247384,0.4080936057486242,0.04678107193431861,0.0010442555965989883,0.0021135272045793465,0.09207252127933284,0.002036846562021485,0.009805221491045074,0.14830040088238353,0.1985447056690997,0.037251053898281136,0.018549382561469888,7.146109408193876e-4,0.0020431350238875727,0.029970068235290713
58,0.00909415620410375,0.02057045023274108,0.007203274499883832,0.004649320883262755,0.012322443752816454,0.008566516238246726,0.004460229014296567,0.01890083084855225,0.23484760754840145,0.5998858011872314,0.012608427540717533,0.03497274639409777,0.004755847862443668,0.006079564018723345,0.02108278377448144
59,0.012946608663583452,0.002093915467749197,0.006930826556174419,0.11038672528139402,0.6364337346346702,8.09543249278089e-4,6.784051626691962e-4,0.005455209410864777,0.025318310384097143,0.18214756794585227,8.528478398244615e-4,0.0030022879794856755,0.004634603520523482,5.804289796850317e-4,0.007728984924148385
60,6.406562279347086e-4,0.04844244597720638,5.022424014782818e-4,0.0015940724266477737,0.003959565979620471,8.290452594018786e-4,6.451520663233491e-5,6.622734773252694e-4,0.17231752706673367,0.002251012355676888,2.950867665824564e-4,9.174356771315244e-5,0.4289893955663493,0.33904457643015457,3.158412905433382e-4
61,0.051972694946719834,0.0024403700175204134,0.19166923217751622,0.0059984658321707495,0.11429015607004916,0.0011427696649319301,6.781297307538011e-4,0.0032352490397306176,0.03785940882276975,0.44820929253232344,0.0020553218566468144,0.044933764283005564,0.07820329169263271,0.0019388717822544776,0.015372981550974016
62,0.01974850297671497,5.835420275945682e-4,0.003910283389558805,0.4352258373896069,0.00656368043802795,0.0012723979663534033,0.06542333059904797,0.003148349474207042,0.10922857436737513,0.3031698292107263,1.630297537030585e-4,5.297307772692059e-4,0.00201373900629538,6.830994441923877e-4,0.048336073179326845
63,0.0708248087974259,0.050227244871296345,0.0015927677029584696,7.429751229354998e-4,0.007144115355524764,0.0026315752248632055,7.737881382805856e-4,0.003773103376389689,0.026871019901396818,0.8148135908170204,9.573571303667722e-4,0.0018566451649374845,0.011169700958315206,0.0015840038300475613,0.005037303608241542
64,9.358087958272576e-4,0.7396179995984077,8.140207767802716e-4,4.169724274182308e-5,0.001209884892013182,0.21281143344273126,4.1085844596289834e-4,0.0022745905572144755,0.004294437053748369,0.02282095377838611,0.0013330554577756682,7.740447087526981e-4,1.420475843282183e-4,8.555721648501524e-4,0.011663595500480345
