docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
1046,2.924586896771024e-5,1.8198236592486197e-5,1.68276032693677e-4,7.593924344810974e-5,0.0010467294827587019,1.4588891717823411e-5,2.289571580515616e-4,6.748605741888835e-5,1.6781505090688662e-4,0.3726190642410531,6.621819812642956e-5,1.2172770241011238e-4,7.318729621998598e-4,0.0011250122721242941,0.6230986034683256,2.0358365381421644e-4,4.7967591002478507e-5,6.944909715638353e-5,9.035277159503623e-5,8.912019636658988e-6,1056,April,Vol6,1919,April_Vol6_03_The_Funny-Bone_Route_Ruth_Moench_Bell.txt,April_Vol6_03_The_Funny-Bone_Route_Ruth_Moench_Bell.txt,Vol6,1919,April
1047,9.410550231133645e-5,2.2981964841203622e-5,0.005530178565273681,0.0024804444936821902,9.312092251602948e-4,3.0811997142882517e-4,0.007250321253179659,1.1307247389582153e-4,0.018275859120484267,0.0015175298491449688,0.18189429859395687,1.1562352632924841e-4,0.0036301795216483698,0.0017308346482620602,0.1375211585773525,0.003558511434537421,0.0018700236020787392,0.632249016062134,5.956749519914446e-4,3.108566623067847e-4,1057,April,Vol6,1919,April_Vol6_04_Our_Indian_Cousins.txt,April_Vol6_04_Our_Indian_Cousins.txt,Vol6,1919,April
1048,0.0018945664771890126,5.588108316490098e-4,9.836590134564573e-4,0.0020709338585267393,0.0339596319627908,0.003040603003383783,0.148521272518255,0.017751968682316554,0.0015125868268947868,0.0026846316266864114,0.0014962782121027934,0.0018835069724623627,9.246006430251709e-4,0.7373161907880973,0.00295048967200996,7.2162216594585e-4,0.03671869428235171,0.002586827464818871,0.0020797258461145714,3.4339915192298736e-4,1058,April,Vol6,1919,April_Vol6_05_Planting_Trees_this_Spring.txt,April_Vol6_05_Planting_Trees_this_Spring.txt,Vol6,1919,April
1049,4.889685670806195e-5,2.3466266576671184e-5,8.167946190379226e-5,4.286806301034538e-5,1.6282814488334223e-4,3.405520363602328e-5,1.9499410531218235e-4,2.0418647197565647e-4,3.903911740022691e-5,0.0010705499850910758,2.0873830037488388e-4,8.03898935915659e-4,9.483107914975484e-5,0.9951290362965126,7.577715493964597e-4,2.744241716933448e-4,2.2237455858074758e-4,4.303071009765989e-4,1.4840060521971254e-4,2.765372568221092e-5,1059,April,Vol6,1919,April_Vol6_06_Construction_and_Reconstruction_in_the_Home._._Janette_A._Hy.txt,April_Vol6_06_Construction_and_Reconstruction_in_the_Home._._Janette_A._Hy.txt,Vol6,1919,April
1050,2.557059564584958e-4,3.0020757195015047e-4,0.0072463706421211325,0.010376553038952324,0.0030732366945079646,0.23542710952444482,0.006145166168165959,0.03551168572412525,0.003923972730889006,0.001846856532529778,0.030315162423090635,0.0014693531676528576,0.0015825536123347367,0.004680368033618068,0.0012569105150967218,0.005934676253517973,0.00301393483580973,0.52431931283167,0.12236278368949634,9.580800535681573e-4,1060,April,Vol6,1919,April_Vol6_07_The_Official_Round_Table_Clarissa_Smith_Williams_and_Amy_Bro.txt,April_Vol6_07_The_Official_Round_Table_Clarissa_Smith_Williams_and_Amy_Bro.txt,Vol6,1919,April
1051,1.6301027033872618e-4,6.388859316979522e-4,0.0023542259359075907,0.15280814189054465,1.3075644565988887e-4,0.015276115876832105,0.0012708600822899298,3.694068307508007e-4,0.0012299570958338364,3.264690972485851e-4,0.20265620416668917,3.4136176304080625e-4,8.605145768217074e-4,0.001485012309568918,2.4358283547135903e-4,0.010408100527497147,0.30413227979719626,0.29417076897172884,0.010959483030011099,1.748625648703815e-4,1061,April,Vol6,1919,April_Vol6_08_On_the_Watch_Tower_James_H._Anderson.txt,April_Vol6_08_On_the_Watch_Tower_James_H._Anderson.txt,Vol6,1919,April
1052,8.24777786195027e-4,0.05669241871980784,3.744950619283609e-4,0.0016331313096559494,0.002331220090406392,0.0011293748341353724,1.893401811939619e-4,9.662112935768332e-4,0.014269895936064399,0.0017944000481524669,0.0018766153636817207,0.0011939748165678003,0.7068824982073698,8.997769390940212e-5,5.057658842236944e-4,0.008135697862362543,0.001324545245575485,1.0933986214132482e-4,0.19898837259127328,6.879472117785957e-4,1062,April,Vol6,1919,April_Vol6_09_Editorial.txt,April_Vol6_09_Editorial.txt,Vol6,1919,April
1053,0.044575162451369284,2.0936983860367987e-4,1.4904121589141077e-5,1.3770005125215214e-4,4.5468818066542866e-4,2.0903534143486277e-4,2.8889505831190257e-4,0.13469011910761178,0.004444756529804425,7.798017234498851e-4,8.601106876502593e-5,0.3554268986706187,0.45660760001695244,2.8079404313126425e-4,5.8536069061010643e-5,8.970606472739807e-4,1.9191790308666545e-4,2.2503109406326746e-5,2.801212646572144e-4,3.441248029551287e-4,1063,April,Vol6,1919,April_Vol6_10_Guide_Lessons.txt,April_Vol6_10_Guide_Lessons.txt,Vol6,1919,April
1054,8.84362446662749e-4,1.2811582312203057e-4,1.0145378981032735e-5,1.4313456621625154e-4,4.017745035519123e-4,2.1362820943388993e-4,1.1579761349483019e-4,0.23216180528138325,0.0015595529916099147,7.090001301683588e-4,7.669541416173192e-5,0.3759202550745568,0.3853093036673414,2.5465789654106414e-4,4.898225523101326e-5,7.779621542591145e-4,9.97345815261862e-5,3.440031448856572e-5,9.199654463194928e-4,2.307262509509957e-4,1064,April,Vol6,1919,April_Vol6_MISC.txt,April_Vol6_MISC.txt,Vol6,1919,April
1055,2.8169435862840328e-5,7.10500523097365e-5,3.999829400722171e-4,4.927418790846649e-4,3.92152318188677e-4,0.0016594278118554115,1.545792867546992e-4,0.001894996921683394,6.783841277194766e-4,3.4301084008898306e-4,0.0013470727616188313,1.2975931995246368e-4,2.00379230293983e-4,1.3380207111107688e-4,5.957425336831883e-5,4.621656335740345e-4,2.735187255393047e-4,6.382779691963027e-4,0.9905685162377107,7.243818401473678e-5,1065,August,Vol6,1919,August_Vol6_00_BOARD.txt,August_Vol6_00_BOARD.txt,Vol6,1919,August
