word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
service,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.186834454536438,0.18714851140975952,0.020873240692827866,250,250
service,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.19404643774032593,0.19487285614013672,0.022209950383426748,250,250
service,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.19528484344482422,0.19529664516448975,0.0819722482150044,250,250
service,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.19694441556930542,0.19733846187591553,0.08911938634430591,250,250
service,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.1876261830329895,0.18644076585769653,0.026622026549399255,250,250
service,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.19115686416625977,0.1902371048927307,0.03175149988215696,250,250
service,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.18725770711898804,0.18587106466293335,0.0024858519275847628,250,250
lesson,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.21015942096710205,0.20928698778152466,0.059261552093307336,250,250
lesson,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.2205154299736023,0.21943408250808716,0.11564334358369509,250,250
lesson,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.23225808143615723,0.23372596502304077,0.07709741654033932,250,250
lesson,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.22597801685333252,0.22559362649917603,0.14453540749988747,250,250
lesson,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.21721017360687256,0.21746015548706055,0.03739658368463576,250,250
lesson,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.234083890914917,0.23595649003982544,0.08241542092324489,250,250
lesson,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.22412019968032837,0.2243921160697937,0.10584710366500824,250,250
lesson,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.23667043447494507,0.23537790775299072,0.0424454049262179,250,250
lesson,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.2249879240989685,0.22308284044265747,0.029020197362021955,250,250
lesson,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.23686325550079346,0.23715370893478394,0.016751595511405065,250,250
mother,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.19469183683395386,0.195914626121521,0.006391478721677498,250,250
mother,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.19602370262145996,0.1960148811340332,0.012506359292692936,250,250
mother,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.2018933892250061,0.20198291540145874,0.07476288417425345,250,250
mother,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.19953370094299316,0.19893622398376465,0.05585434437021007,250,250
mother,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.19103342294692993,0.19084447622299194,0.011782621613346953,250,250
mother,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.197332501411438,0.19735020399093628,0.07626353129646118,250,250
mother,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.1948276162147522,0.19394487142562866,0.07486171691750859,250,250
mother,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.19564783573150635,0.19607430696487427,0.03893595047065328,250,250
mother,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.19262123107910156,0.19213396310806274,0.034441671100766055,250,250
mother,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.19393259286880493,0.19325625896453857,0.021923431563051758,250,250
home,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.19319754838943481,0.19266873598098755,0.005262731220635723,250,250
home,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.19589108228683472,0.19678008556365967,0.015163659186052185,250,250
home,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.193206787109375,0.19400513172149658,0.02485839963032191,250,250
home,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.19402313232421875,0.19593137502670288,0.020820141684054893,250,250
home,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.19380652904510498,0.19539004564285278,0.006980565789333249,250,250
home,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.19171345233917236,0.19331783056259155,0.027041848196054003,250,250
home,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.19264042377471924,0.19514882564544678,0.03187906790994143,250,250
