docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,doc_id,month.x,volume.x,year.x,filename.x,filename.y,volume.y,year.y,month.y
406,2.4331843170947578e-4,7.692968757293377e-4,1.2038757460022252e-4,9.826265738394787e-4,1.1408574263997673e-4,1.223235180796398e-4,1.4978292779731247e-4,2.9982534906769928e-5,6.695936747286395e-4,8.103856452669373e-5,2.827493944447486e-4,2.2960009861996235e-4,3.7175180918052106e-4,4.1277001161757487e-4,3.6622796899649736e-4,4.7557109088493634e-4,0.9935587302192799,6.412793518204563e-4,3.3796321651243893e-4,4.092042008583921e-5,409,October,Vol2,1915,October_Vol2_07_Current_Topics_Current_Topics_James_H._Anderson.txt,October_Vol2_07_Current_Topics_Current_Topics_James_H._Anderson.txt,Vol2,1915,October
407,4.771144863939332e-5,1.0962061823496326e-4,7.414993724655814e-4,6.969345161597639e-4,6.080953023505876e-4,0.002394626065906131,2.4763748196792877e-4,0.0024415901022387977,0.0010586721273107226,5.111285281611454e-4,0.0019383345042746658,1.9771776824079471e-4,3.18863959494274e-4,2.0397912844894776e-4,8.886495356992861e-5,7.043366312242091e-4,4.188696154760387e-4,8.982780954994992e-4,0.9862705209762003,1.027188041367826e-4,410,October,Vol2,1915,October_Vol2_08_Editorial_Editorial.txt,October_Vol2_08_Editorial_Editorial.txt,Vol2,1915,October
408,5.853445968121517e-4,3.26331991903735e-5,2.0059894425695493e-4,8.103287466399254e-4,9.63429450593814e-4,3.6148593851969863e-4,0.027642650062180668,0.14773822685478677,0.0014428812308729206,0.732134576128045,0.0013249264796081747,6.401848554879277e-4,0.04892074202427853,4.639932893971388e-4,5.542613864165011e-4,0.0014620868418198799,5.667727102918408e-5,3.1061978838072907e-4,0.03424657804419448,1.0777486748914842e-4,411,October,Vol2,1915,October_Vol2_09_Guide_Lessons_Guide_Lessons.txt,October_Vol2_09_Guide_Lessons_Guide_Lessons.txt,Vol2,1915,October
409,0.0026112965758592023,1.9130142717749501e-4,7.10639133899212e-4,3.935760826583973e-4,0.03025870396613128,9.008865057826809e-4,0.08598697669479904,0.0013519612158399902,0.6099651908598503,9.560790881324483e-4,0.00262039275833296,2.690609657439634e-4,0.2245303964918979,5.089620034818025e-5,0.0010564762177748906,4.0081744942528673e-4,2.745147479260252e-4,1.6798909512496786e-4,0.03620561667979705,0.001097227843499041,412,October,Vol2,1915,October_Vol2_10_Article_Music.txt,October_Vol2_10_Article_Music.txt,Vol2,1915,October
410,1.3106888265808334e-4,1.0575586280581611e-4,5.202141824130287e-4,6.491637497240024e-4,4.135887477805445e-4,8.985447232317714e-4,4.5234478753089854e-4,0.005608471703175203,0.03904157739650438,4.8765645977328633e-4,0.005413245270229702,3.3959106426407955e-4,0.0016386277432732731,1.0453236034067023e-4,2.0565945394652614e-4,0.024901332485541196,4.400870934575769e-4,0.003324564327626753,0.9150233036376455,3.0067006807738206e-4,413,October,Vol2,1915,October_Vol2_Misc.txt,October_Vol2_Misc.txt,Vol2,1915,October
411,4.313997844990696e-5,1.0113649151262795e-4,6.790940507937087e-4,6.414210259733275e-4,5.56875709876034e-4,0.0022104951754588235,2.2437877185045468e-4,0.002300816927034625,9.627124366464274e-4,4.7292422787903406e-4,0.001763929483598486,1.8284539395016074e-4,2.869788909693644e-4,1.865521086223171e-4,7.946006904404938e-5,6.464957654335616e-4,3.868061915539976e-4,8.235681327728321e-4,0.9873558076807619,9.456148781878047e-5,414,September,Vol2,1915,September_Vol2_00_BOARD.txt,September_Vol2_00_BOARD.txt,Vol2,1915,September
412,2.364943062141764e-4,4.038792103735907e-4,7.248140419511217e-4,7.296598213765809e-4,0.002785096524209915,0.9789746090782743,0.0012796491507428196,0.001571305622759525,0.0011399085905356824,1.9905137454359216e-4,9.354160367496185e-4,3.113285348400039e-4,6.705952382912177e-4,2.675824786517243e-4,3.3865991848247996e-4,3.8491713553855393e-4,5.903375514896189e-4,0.001532416660374951,0.006722602757794967,2.016759668063607e-4,415,September,Vol2,1915,September_Vol2_00_CONTENTS.txt,September_Vol2_00_CONTENTS.txt,Vol2,1915,September
413,3.697828984293067e-5,1.0405763508124746e-4,0.05640035330172213,0.5768887557591921,4.331974592521277e-4,8.765805552711901e-4,0.1929749919730078,2.5401418494421445e-4,8.48863261961172e-4,9.73319883295898e-4,0.019882772808320077,2.48648162180716e-5,2.567917057713273e-4,2.829784011752691e-4,0.05986186068369988,5.795729304134697e-4,6.968750351525368e-4,0.033488383965699864,0.055051318010602514,8.346933937639451e-5,416,September,Vol2,1915,September_Vol2_01_Genealogy_International_Genealogical_Congress_at_the_Panama-Pacific_Ex.txt,September_Vol2_01_Genealogy_International_Genealogical_Congress_at_the_Panama-Pacific_Ex.txt,Vol2,1915,September
414,6.92125016176893e-4,1.0638966065220143e-4,0.061072841369844116,0.0012930349966733712,0.002409023418630163,3.396838761941831e-4,0.4219670439037654,1.0471664393616548e-4,0.007285588616588384,0.0018761611232621992,0.00197564536687805,5.794797920767836e-5,0.0013254816896791815,0.0015352277485750194,0.49531861971720165,2.0587339252017654e-4,3.771884366837732e-4,0.001667560922141502,2.515163744503226e-4,1.383297469398646e-4,417,September,Vol2,1915,September_Vol2_02_Article_The_Selfishness_of_Jacob_and_Rachel_—_Nephi_Anderson.txt,September_Vol2_02_Article_The_Selfishness_of_Jacob_and_Rachel_—_Nephi_Anderson.txt,Vol2,1915,September
415,1.7460237934278043e-4,5.257202865941385e-5,3.742038952056032e-4,3.520308022612403e-4,3.409477919943051e-4,8.298509938991406e-5,8.796141370424533e-4,4.859290866265478e-4,1.6230476729206387e-4,0.040128502878098035,0.0028510591329943447,0.0020192063295073766,7.648141742833219e-4,0.9419623087138808,0.002537793072074986,0.001736638749193512,6.223843008446247e-4,0.003752304813699501,6.549424213150542e-4,6.48554262947292e-5,418,September,Vol2,1915,September_Vol2_03_Article_In_the_Kitchen_Laboratory_—_Hazel_Love_Dunford.txt,September_Vol2_03_Article_In_the_Kitchen_Laboratory_—_Hazel_Love_Dunford.txt,Vol2,1915,September
416,1.8120473566903803e-4,1.217897764781328e-4,7.760044392931188e-4,0.002406420448124745,0.8924157410826077,4.3479001696703016e-4,9.475132668117406e-4,1.6422747236480943e-4,0.0033740564191698276,0.0017661005043519999,0.03944799568419963,6.254462703454095e-5,0.04971986548450411,4.343940880127424e-4,0.005219216639314606,2.9447829759447286e-4,1.8474959047232157e-4,5.867918507337578e-4,0.0012802469650546298,1.8186861124138453e-4,419,September,Vol2,1915,September_Vol2_04_Prince_of_Ur_A_Prince_of_Ur.txt,September_Vol2_04_Prince_of_Ur_A_Prince_of_Ur.txt,Vol2,1915,September
417,0.04135089846486261,4.805960532074577e-4,5.113644402747423e-4,1.3827530533088925e-4,0.9220690117475175,9.813258125378013e-4,0.0020097995266127283,2.499438498992433e-4,0.019590368506493167,3.6121394017718777e-4,4.288009309094997e-4,1.4305092427029328e-4,0.008131128321546811,3.118673598375782e-4,0.0018717439548624432,4.663788668866482e-5,3.2557601062210807e-4,3.913154030879459e-5,5.323116063960178e-4,4.269538176447572e-4,420,September,Vol2,1915,September_Vol2_05_Article_Homespun.txt,September_Vol2_05_Article_Homespun.txt,Vol2,1915,September
