flagged,count,hunspell_suggestion,closest_vocab_term,closest_vocab_count
socalled,84,so called,NA,NA
tommy,84,tommy,today,2285
bessie,83,bessie,beside,517
dixie,83,dixie,die,1199
georgia,83,georgia,NA,NA
murray,83,murray,marry,1166
pohlman,83,patrolman,NA,NA
theodore,83,theodore,NA,NA
africa,82,africa,NA,NA
florida,82,florida,NA,NA
jacobs,82,jacobs,NA,NA
joyce,82,joyce,voice,1969
rumania,82,mania,NA,NA
atlantic,81,atlantic,NA,NA
carolina,81,carolina,NA,NA
claus,81,claus,class,1799
india,81,india,idea,1100
katherine,81,katherine,NA,NA
presentday,81,present day,NA,NA
stevens,81,stevens,seven,539
fairbanks,80,fairbanks,NA,NA
hattie,80,hattie,hate,358
jackson,80,jackson,NA,NA
parker,80,parker,paper,978
scott,80,scott,short,1282
blackfoot,79,blackfoot,NA,NA
erma,79,ream,arm,1213
poland,79,poland,plan,2839
reynolds,79,reynolds,NA,NA
whitney,79,whitney,white,2152
ada,78,ada,ask,3070
kareen,78,careen,garden,1294
massachusetts,78,massachusetts,NA,NA
palmer,78,palmer,paper,978
skaggs,78,skating,NA,NA
alexander,77,alexander,NA,NA
bowen,77,bowen,power,2213
lillian,77,lillian,million,360
morris,77,morris,NA,NA
portland,77,portland,kirtland,219
pyper,77,piper,power,2213
simon,77,simon,son,2421
tim,77,chm,time,11050
elaine,76,elaine,plain,792
latin,76,latin,late,2678
lella,76,fella,tell,4323
norway,76,norway,normal,273
philadelphia,76,philadelphia,NA,NA
columbus,75,columbus,NA,NA
der,75,red,see,7901
harriet,75,harriet,NA,NA
larkin,75,larking,martin,155
nphe,75,nephew,name,2373
wom,75,mow,come,11973
bruce,74,bruce,true,2076
italian,74,italian,NA,NA
kate,74,take,make,14413
madge,74,madge,make,14413
hansen,73,hansen,happen,742
harold,73,harold,hold,4090
jimmie,73,jimmie,jimmy,187
kane,73,kane,one,17251
navajo,73,navajo,NA,NA
rome,73,more,one,17251
walter,73,walter,water,1863
familys,72,family,family,5318
handel,72,handle,hand,4328
juarez,72,juarez,NA,NA
lester,72,lester,sister,3413
oneida,72,oneida,NA,NA
burley,71,burly,burden,292
castleton,71,castle ton,NA,NA
ephraim,71,ephraim,NA,NA
frederick,71,frederick,NA,NA
kathy,71,kathy,thy,1558
ross,71,ross,room,2613
silas,71,sisal,silk,448
thirtyfive,71,thirty five,NA,NA
widtsoe,71,widths,NA,NA
zealand,71,zealand,NA,NA
howard,70,howard,toward,1566
lou,70,lou,love,6134
maud,70,maud,make,14413
rebecca,70,recap,NA,NA
rita,70,rita,write,3493
sadie,70,sadie,side,1524
salle,70,sale,call,4529
theyd,70,they,head,1806
vermont,70,vermont,sermon,227
benjamin,69,benjamin,NA,NA
ber,69,brr,see,7901
czechoslovakia,69,czechoslovakia,NA,NA
daynes,69,haynes,NA,NA
denmark,69,denmark,remark,300
eee,69,wee,one,17251
grey,69,grey,great,9436
hollywood,69,hollywood,NA,NA
onethird,69,one third,NA,NA
paula,69,paula,pull,469
twentyone,69,twenty one,NA,NA
whitmer,69,whiter,white,2152
hawley,68,shawl,valley,1201
heres,68,hairs,hes,346
inez,68,inez,one,17251
uintah,68,quint,NA,NA
caesar,67,caesar,clear,976
clawson,67,claw son,NA,NA
hamilton,67,hamilton,NA,NA
isaac,67,isaac,NA,NA
joan,67,joan,man,10518
lottie,67,lottie,little,5806
pasadena,67,pasadena,NA,NA
sara,67,tiara,say,11551
teton,67,tenon,ten,1049
yellowstone,67,yellowstone,NA,NA
australian,66,australian,NA,NA
burton,66,burton,burn,630
carey,66,carey,early,2252
denver,66,denver,never,4155
hinckley,66,mckinley,NA,NA
lincolns,66,lincolns,NA,NA
moapa,66,moat,mama,202
peggy,66,peggy,egg,339
phillips,66,fillips,NA,NA
samson,66,samson,season,769
augusta,65,augusta,NA,NA
christy,65,christen,charity,526
emerson,65,emerson,person,1630
lucile,65,lucile,NA,NA
michigan,65,michigan,NA,NA
aint,64,aunt,find,5663
andrews,64,andrews,address,1131
australia,64,australia,NA,NA
greece,64,greece,green,954
harvard,64,harvard,NA,NA
jennings,64,jennings,NA,NA
norma,64,norma,form,1753
seventyfive,64,seventy five,NA,NA
woolley,64,woolly,NA,NA
amelia,63,amelia,NA,NA
arden,63,arden,order,2176
evan,63,evan,man,10518
finland,63,finland,island,313
geneva,63,geneva,NA,NA
giveth,63,give,give,10455
greene,63,greene,green,954
isabel,63,isabel,label,160
malad,63,malady,glad,679
marshall,63,marshall,NA,NA
minerva,63,minerva,NA,NA
oct,63,cot,one,17251
orson,63,orison,son,2421
smithfield,63,smith field,NA,NA
thelma,63,thelma,theme,407
zions,63,zions,zion,699
carthage,62,carthage,NA,NA
celia,62,celia,eliza,238
cometh,62,comet,come,11973
crawford,62,crawford,NA,NA
kaibab,62,kabuki,NA,NA
phil,62,phil,child,9199
bingham,61,gingham,brigham,178
connelly,61,o'connell,NA,NA
durrant,61,currant,current,228
josef,61,josef,lose,1479
twentythree,61,twenty three,NA,NA
addams,60,addams,NA,NA
israelite,60,israelite,NA,NA
julie,60,julie,lie,1562
linnies,60,ninnies,NA,NA
mack,60,mack,make,14413
mel,60,mel,man,10518
passover,60,passover,NA,NA
raymond,60,raymond,rayon,292
solomon,60,solomon,solemn,146
bethany,59,bethany,NA,NA
cetera,59,terrace,center,888
enoch,59,enoch,enough,1624
eral,59,real,draw,992
ity,59,it,say,11551
josephs,59,josephs,NA,NA
keller,59,keller,elder,220
les,59,lech,see,7901
louisa,59,louisa,NA,NA
rehef,59,reef,renew,395
stella,59,stella,tell,4323
swiss,59,swiz,wish,1411
tory,59,troy,work,10620
catalogue,58,uncatalogued,NA,NA
catherine,58,catherine,NA,NA
churchwide,58,church wide,NA,NA
horace,58,horace,force,988
leona,58,leona,long,4660
maga,58,mags,make,14413
nght,58,night,get,5348
roy,58,roy,say,11551
sego,58,ego,see,7901
afton,57,aft on,often,2014
betsy,57,betsy,easy,1017
elijah,57,elijah,eliza,238
janets,57,jennets,NA,NA
miltons,57,mil tons,NA,NA
ralph,57,ralph,ranch,223
steinway,57,steinway,NA,NA
tess,57,techs,tell,4323
valjean,57,val jean,NA,NA
baxter,56,baxter,water,1863
christine,56,christine,christian,465
czech,56,czech,catch,720
genevieve,56,genevieve,NA,NA
horne,56,horne,one,17251
longfellow,56,longfellow,NA,NA
switzerland,56,switzerland,NA,NA
carrie,55,carrie,care,2182
cumorah,55,menorah,NA,NA
huntington,55,huntington,NA,NA
norwegian,55,norwegian,NA,NA
preston,55,preston,prison,128
robison,55,bison,NA,NA
wel,55,eel,see,7901
beal,54,veal,feel,4724
eden,54,eden,even,4852
farreaching,54,far reaching,NA,NA
harvey,54,harvey,harvest,264
lowell,54,lowell,lovely,1130
philip,54,philip,NA,NA
susie,54,susie,use,5930
tongan,54,tongan,organ,503
vesta,54,vesta,west,1124
andersen,53,andersen,NA,NA
barton,53,barton,martin,155
hvy,53,hey,say,11551
parowan,53,pa rowan,NA,NA
perkins,53,perkins,NA,NA
phyllis,53,phyllis,NA,NA
stanton,53,stanton,NA,NA
becky,52,becky,back,4290
burt,52,burt,must,5321
corinthians,52,corinthians,NA,NA
dora,52,dora,work,10620
ent,52,net,one,17251
gardner,52,gardner,garden,1294
gramp,52,gram,group,2464
ist,52,sit,first,7151
sacramento,52,sacramento,sacrament,288
steele,52,stile,style,973
threepart,52,three part,NA,NA
walton,52,walton,wagon,682
wil,52,wile,way,5206
gilbert,51,gilbert,NA,NA
goin,51,goon,good,17414
harper,51,harper,paper,978
kristin,51,kristin,NA,NA
millard,51,millard,miller,114
montpelier,51,montpelier,NA,NA
ous,51,ouch,one,17251
pos,51,pews,now,6054
stevenson,51,stevenson,NA,NA
texaslouisiana,51,NA,NA,NA
bede,50,bede,see,7901
dec,50,dec,see,7901
itll,50,till,call,4529
jepperson,50,nonperson,NA,NA
jonathan,50,jonathan,NA,NA
joshua,50,joshua,NA,NA
mattie,50,mattie,cattle,310
merrygoround,50,underground,NA,NA
norton,50,norton,north,881
persian,50,persian,person,1630
swedish,50,swedish,NA,NA
theyve,50,they've,twelve,915
timpanogos,50,timpanists,NA,NA
twentytwo,50,twenty two,NA,NA
victoria,50,victoria,victory,186
zenor,50,senor,honor,1423
carlton,49,carlton,NA,NA
chaucer,49,saucer,cancer,160
ezra,49,ezra,ear,382
grantsville,49,grantsmanship,NA,NA
juanee,49,jejune,NA,NA
kirkham,49,khaki,NA,NA
marjorie,49,marjorie,NA,NA
montana,49,montana,NA,NA
niels,49,nails,field,2536
sacagawea,49,sagacious,NA,NA
syria,49,syria,strip,147
tennyson,49,tennyson,NA,NA
austria,48,austria,NA,NA
dennis,48,dennis,NA,NA
dryden,48,dryden,NA,NA
edwin,48,edwin,win,826
eliot,48,eliot,list,839
etta,48,teat,eat,914
fortyfive,48,forty five,NA,NA
mon,48,mon,one,17251
nebraska,48,nebraska,NA,NA
pur,48,poor,part,3565
staffordshire,48,afforestation,NA,NA
thorpe,48,thorpe,three,2680
toro,48,tor,work,10620
bennetts,47,jennets,NA,NA
clarissa,47,clarissa,NA,NA
davids,47,davids,divide,294
duchesne,47,duchess,NA,NA
helga,47,helga,help,4438
hughs,47,highs,high,3358
ireland,47,ireland,island,313
irish,47,irish,rise,1677
pete,47,pete,see,7901
richardson,47,richardson,NA,NA
selfexpression,47,self expression,NA,NA
thayne,47,thane,thank,867
turkish,47,turkish,furnish,519
