row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
24,0.8789893625228327,7.827193061110029e-4,0.0012567011451339804,4.721242429038501e-4,0.0025619482500111707,0.06330469209972084,0.0023662672838862106,0.011562280666984852,0.002402024043631348,9.403798279570399e-4,0.021116084311699677,0.010065909444881118,3.148935305017644e-4,0.002863456253669589,0.0010011570700748072
25,6.319094115308331e-4,8.275381671435756e-4,0.3532035641279116,0.07031644880344812,0.22788416604697306,0.01524170665979334,0.0033938792043328937,9.144193480208374e-4,0.20396197295815122,0.0014038630927181786,0.11565116317252756,0.002275751529518684,5.644979778811076e-4,0.0034569631319379193,2.721563681119312e-4
26,0.19034797558696717,0.002127041505778116,0.012866173617938709,0.03237990261275911,0.17582988723227802,0.28259672098934285,0.00185729902729753,0.0017004914064551442,0.2602955547482601,0.001974052120384307,0.024670557320831076,0.0064516967685444284,0.001899698983725535,0.004576076905852827,4.268711735850849e-4
27,0.0019500095330120422,0.44437474863297705,0.0024992284718258913,0.01843987411712699,0.11597185737036646,0.003967309650313598,0.37809389171267105,0.0011468412135025297,0.01509160313033789,9.716539956782145e-4,0.010999752102417208,0.003978009998641461,0.0010504457202670774,0.0012249945407811203,2.3977981008121402e-4
28,0.0027239392116319623,0.41936420004329306,0.013739498978187306,0.02595681834291937,0.12455552999783276,0.008569006630362582,0.19649284639058628,3.901649973670489e-4,0.18237837601066026,7.045762043787181e-4,0.010952844888331575,0.008041329831635543,0.0029482385128957005,0.0029067152377518233,2.759147221651264e-4
29,0.43364683419345434,0.008523880763718402,0.0035482395800918573,0.00746071726851975,0.0037205849457094503,0.4116863107685742,0.0019403040538171642,0.0035032562363725745,0.04800826190515219,0.008406903166009132,0.018573315584025765,0.02007704341673902,0.01944096675465715,0.010565400559923771,8.979808032354282e-4
30,0.0034250086417466847,5.563553248546646e-4,0.034531010044513394,0.016284369377447195,0.4185441661010155,0.1390494277452563,0.0021107295033910424,0.0066070900674793515,0.0124128595524693,0.009028765020369204,0.2546570300320119,0.0029269126575974963,1.3500158375660937e-4,0.09932754922251191,4.037251255798089e-4
31,0.1002991706366523,0.001538707284138938,0.0026305919035067692,0.009497005776125327,0.13242243618740834,0.39366342879542165,0.009946876503666722,0.0039118993579440875,0.046419579112301414,0.0034817285843578303,0.28544871023584145,0.006589795971339168,6.843993397837457e-4,0.0027749354072154507,6.907349042971229e-4
32,0.2522674218955327,0.002178243703423831,0.0013523302400538788,0.002724985767326385,0.012002024255436079,0.06215431916422688,0.054979444291029814,0.04604335749843079,0.004694792225343546,0.001985229597555597,0.5389912605650045,0.007884709805955578,0.0012427774947399055,0.007639532598362557,0.0038595708975777392
33,0.0012575051108151738,3.573483227014585e-4,3.4307925412869605e-4,0.004145073172706919,0.058337932059742643,0.007874363358181435,0.00144463807193257,0.8210958541906431,3.6411779432525397e-4,9.872877574869515e-4,0.0987991378915437,0.00325180396654791,9.887511104450438e-5,8.896037239713655e-4,7.533802142283753e-4
34,0.1116745745681932,0.0014526740243772675,6.84237311185252e-4,0.001034787943430867,0.005534844287737197,0.05672834569617204,0.019186071222292853,0.6816622670162228,0.0011093141821194139,0.0012277643955608132,0.10449573877696149,0.002413344712053569,4.126105908835147e-4,0.008260057248473871,0.004123368024336265
35,0.1082006472975471,6.799495592794623e-4,8.891978792448406e-4,6.826704512908765e-4,0.006604639298052728,0.017693284420517378,0.015162875909279097,0.6793528570411161,3.6818104846049834e-4,0.022997153730011544,0.12251514647271974,0.004660458231538626,1.4102362770344306e-4,0.017353573545753398,0.0026983414874849555
36,0.5730550085666575,6.444285951746643e-4,7.299488623836136e-4,6.782851348724645e-4,0.0026165697733881864,0.3713726376187404,0.0012235426250222965,0.006512674334664011,0.0018301105688140588,0.0035046404635243177,0.02915206921597313,0.004984784209172709,2.2696473935067022e-4,0.0028669394783391953,6.0139581392266e-4
37,0.001192215354510459,8.048251559758778e-4,0.007894261381519285,0.0012230119750632287,0.13428210821705086,0.001020353057743378,0.8434288626899912,0.0013278708468142805,3.217739971135682e-4,1.9437022750297322e-4,0.006822546548158136,7.712095610286046e-4,1.5211796826674308e-5,4.953078834720146e-4,2.0607130723028898e-4
38,0.8434337306700892,6.113603974144502e-4,7.679506346103365e-4,3.867315174186095e-4,0.0015853374289027246,0.12452201396045647,0.0015897847630051327,0.00603696901741849,0.001261308204960919,0.0015744662800729846,0.011180767059182148,0.0034665520164202874,1.849220629644108e-4,0.0028515141722511702,5.46591814832867e-4
39,0.05469210482936736,3.198156280168324e-4,0.001108311585674992,6.631642914696256e-4,0.0335312938498079,0.008206568428261238,0.012437745880244067,0.45908052912471026,0.00111629628832481,2.3653317192781113e-4,0.19031680219542033,0.0019239009815359336,1.5846597193464596e-4,0.0014958207498386453,0.2347126470234656
40,0.13778054115151112,0.01845081545126459,0.02976647055302877,0.00605683405152652,0.004721966688678053,0.01505409810557619,0.0031259149579773134,0.005471461685724783,0.6603021877571038,0.0010121318420077622,0.03712322057231986,0.051807646995068124,0.009691221958645977,0.01814253320116407,0.001492955028402675
41,0.021886307105749906,0.026354157646100867,0.036999283715844336,0.007381503282028824,0.03419754706286295,0.010104881942370011,0.056985730415957794,0.1273418908194376,0.014953531944388943,0.0025141242826208173,0.5643158401872213,0.0756294346520671,0.0022773419349753072,0.014149658487448745,0.004908766520925089
