topic_num,topic_label,proportion,filename,Title,Author,Article_Type,volume_num,year,issue,proportion_pct
2,Relief Society Conference Reports,0.9678740363580399,WE_Vol35_1906_Issue2_019_UINTAH_STAKE.txt,Uintah Stake,Unknown,Article,35,1906,2,96.79
2,Relief Society Conference Reports,0.9673647098764244,WE_Vol38_1909_Issue1_026_R_S_REPORTS_2.txt,R. S. REPORTS.,Unknown,Relief Society Report,38,1909,1,96.74
2,Relief Society Conference Reports,0.967007795635604,WE_Vol32_1903_Issue4_008_REPORT_FROM_TOOELE_STAKE.txt,REPORT FROM TOOELE STAKE.,Unknown,Article,32,1903,4,96.7
2,Relief Society Conference Reports,0.9650767848363132,WE_Vol36_1907_Issue1_008_R_S_EEPORTS.txt,R. S. EEPORTS.,Unknown,Article,36,1907,1,96.51
2,Relief Society Conference Reports,0.9613142285161225,WE_Vol39_1910_Issue9_006_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,39,1910,9,96.13
2,Relief Society Conference Reports,0.9599409410693549,WE_Vol39_1910_Issue6_007_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"LIZZIE ROBBINS,",Relief Society Report,39,1910,6,95.99
3,Women's Rights,0.9931257437269674,WE_Vol38_1909_Issue7_005_PROPERTY_RIGHTS_OF_WOMEN.txt,PROPERTY RIGHTS OF WOMEN.,Unknown,Article,38,1909,7,99.31
3,Women's Rights,0.9840294744230751,WE_Vol32_1903_Issue10_013_THE_WORLD_IN_TURMOIL.txt,THE WORLD IN TURMOIL.,Unknown,Article,32,1903,10,98.4
3,Women's Rights,0.9702534812267002,WE_Vol39_1910_Issue8_004_EMPLOYER_AND_EMPLOYEE.txt,EMPLOYER AND EMPLOYEE.,WOMAN’S EXPONENT,Article,39,1910,8,97.03
3,Women's Rights,0.9659264120971145,WE_Vol34_1905_Issue9_032_RABBI_FLEISCHER_ON_WOMAN.txt,RABBI FLEISCHER ON WOMAN.,Unknown,Article,34,1905,9,96.59
3,Women's Rights,0.9392925413043983,WE_Vol34_1905_Issue5_020_RABBI_FLEISCHER_ON_WOMAN_IN_A.txt,RABBI FLEISCHER ON WOMAN IN A,WOMAN’S EXPONENT,Article,34,1905,5,93.93
3,Women's Rights,0.931831818921225,WE_Vol41_1912_Issue8_015_TAKING_A_STAND_FOR_THE_RIGHT.txt,TAKING A STAND FOR THE RIGHT.,"IDA S. PEAY,",Article,41,1912,8,93.18
3,Women's Rights,0.9288136302942472,WE_Vol35_1906_Issue1_013_PROSPERITY_AND_PROGRESS.txt,PROSPERITY AND PROGRESS.,Unknown,Article,35,1906,1,92.88
3,Women's Rights,0.9136573389178938,WE_Vol33_1904_Issue5_026_EDWIN_D_MEAD_S_ADDRESS.txt,EDWIN D. MEAD’S ADDRESS.,Unknown,Article,33,1904,5,91.37
3,Women's Rights,0.9071928337767604,WE_Vol37_1908_Issue3_011_THE_POLITICAL_SITUATION_IN_UTAH.txt,THE POLITICAL SITUATION IN UTAH.,Unknown,Article,37,1908,3,90.72
3,Women's Rights,0.8978813774219943,WE_Vol39_1910_Issue2_010_ARE_THE_WATCHMEN_ON_THE_TOWERS.txt,Are the Watchmen on the Towers,Unknown,Article,39,1910,2,89.79
3,Women's Rights,0.8967295085695834,WE_Vol41_1912_Issue7_013_THE_CHILD_BORN_AND_UNBORN.txt,The Child—Born and Unborn,"W. Brown Ewing, read at General Re-",Article,41,1912,7,89.67
3,Women's Rights,0.8959065147874845,WE_Vol39_1910_Issue9_004_THE_TEMPERANCE_QUESTION.txt,THE TEMPERANCE QUESTION.,Unknown,Article,39,1910,9,89.59
3,Women's Rights,0.8900319283426432,WE_Vol38_1909_Issue3_003_WHY_I_HATE_THE_LIQUOR_TRAFFIC.txt,Why I Hate the Liquor Traffic,Unknown,Article,38,1909,3,89
3,Women's Rights,0.8832539482698278,WE_Vol39_1910_Issue7_011_THE_RISING_GENERATION.txt,THE RISING GENERATION.,WOMAN’S EXPONENT,Article,39,1910,7,88.33
3,Women's Rights,0.8748610954238429,WE_Vol41_1912_Issue14_005_THE_SUFFRAGE_MOVEMENT_IN_ENG.txt,THE SUFFRAGE MOVEMENT IN ENG-,Unknown,Article,41,1912,14,87.49
3,Women's Rights,0.8720645928704558,WE_Vol37_1908_Issue4_009_THE_ELECTION_OF_A_PRESIDENT.txt,THE ELECTION OF A PRESIDENT.,Unknown,Article,37,1908,4,87.21
3,Women's Rights,0.8608692216414914,WE_Vol39_1910_Issue5_014_UPHOLD_THE_RIGHT.txt,“UPHOLD THE RIGHT.”,WOMAN’S EXPONENT,Article,39,1910,5,86.09
3,Women's Rights,0.8494965933817693,WE_Vol39_1910_Issue9_014_SCIENTISTS_AND_PHILOSOPHERS.txt,SCIENTISTS AND PHILOSOPHERS.,Unknown,Article,39,1910,9,84.95
3,Women's Rights,0.8470338847692683,WE_Vol37_1908_Issue3_012_BE_VALIANT_FOR_RIGHTS.txt,Be Valiant for Rights,WOMAN’S EXPONENT,Article,37,1908,3,84.7
3,Women's Rights,0.8415905369972233,WE_Vol32_1903_Issue7_018_HASTE_AND_REST.txt,HASTE AND REST.,Unknown,Article,32,1903,7,84.16
3,Women's Rights,0.8300612921078723,WE_Vol35_1906_Issue4_008_THE_SLEEPING_GIRL.txt,THE SLEEPING GIRL.,Unknown,Article,35,1906,4,83.01
3,Women's Rights,0.8295539097138659,WE_Vol36_1907_Issue7_014_JOTTINGS.txt,Jottings,Unknown,Article,36,1907,7,82.96
3,Women's Rights,0.8285154497093592,WE_Vol41_1912_Issue5_010_THE_NEW_YEAR_1913.txt,The New Year—1913,Unknown,Article,41,1912,5,82.85
3,Women's Rights,0.8191114512287512,WE_Vol40_1911_Issue7_010_TODAY_WHAT_OF_TOMORROW.txt,TODAY—WHAT OF TOMORROW?,Unknown,Article,40,1911,7,81.91
3,Women's Rights,0.812369734925109,WE_Vol33_1904_Issue9_064_EXTRACTS.txt,EXTRACTS.,Unknown,Article,33,1904,9,81.24
4,Moral Fiction,0.9753224098940163,WE_Vol38_1909_Issue5_012_DR_TALMAGE_S_NEW_BOOK.txt,Dr. Talmage’s New Book,Unknown,Article,38,1909,5,97.53
4,Moral Fiction,0.9717634695294195,WE_Vol41_1912_Issue2_028_PICKLED_GRAPES.txt,PICKLED GRAPES.,VINCY R. BARKER,Article,41,1912,2,97.18
4,Moral Fiction,0.9184758977406998,WE_Vol40_1911_Issue5_015_HISTORY_OF_THE_Y_L_M_I_A.txt,History of the Y. L. M. I. A,Unknown,Article,40,1911,5,91.85
4,Moral Fiction,0.9030319394103536,WE_Vol32_1903_Issue12_013_OUR_LITTLE_PAPER.txt,OUR LITTLE PAPER.,Unknown,Article,32,1903,12,90.3
4,Moral Fiction,0.8906017642091908,WE_Vol41_1912_Issue5_020_BOOK_REVIEW.txt,Book Review,VINCY R. BARKER,Article,41,1912,5,89.06
4,Moral Fiction,0.8897840133755257,WE_Vol37_1908_Issue1_009_A_WORD_TO_THE_RELIEF_SOCIETR.txt,A WORD TO THE RELIEF SOCIETR.,Unknown,Article,37,1908,1,88.98
4,Moral Fiction,0.8880092185403196,WE_Vol39_1910_Issue7_012_THE_CITIES_OF_THE_SUN.txt,“THE CITIES OF THE SUN.”,Unknown,Article,39,1910,7,88.8
4,Moral Fiction,0.8633238768907584,WE_Vol38_1909_Issue5_011_THANKSGIVING.txt,Thanksgiving,Unknown,Article,38,1909,5,86.33
4,Moral Fiction,0.8417464229840801,WE_Vol40_1911_Issue5_016_LITERARY_NOTES.txt,Literary Notes,Unknown,Article,40,1911,5,84.17
4,Moral Fiction,0.8375382575992206,WE_Vol36_1907_Issue8_012_SEVENTY_EIGHTH_ANNUAL_CONFERENCE.txt,Seventy-Eighth Annual Conference,Unknown,Board/Meeting,36,1907,8,83.75
4,Moral Fiction,0.8356608405814645,WE_Vol38_1909_Issue9_017_THE_STORY_OF_MORMONISM.txt,“THE STORY OF MORMONISM.”,Unknown,Article,38,1909,9,83.57
4,Moral Fiction,0.8337518286131044,WE_Vol35_1906_Issue8_012_THE_WOMEN_OF_ZION.txt,THE WOMEN OF ZION.,Unknown,Article,35,1906,8,83.38
4,Moral Fiction,0.8287757101672786,WE_Vol33_1904_Issue11_017_HELPFUL_SUGGESTIONS.txt,HELPFUL SUGGESTIONS.,Unknown,Article,33,1904,11,82.88
4,Moral Fiction,0.8221748498535898,WE_Vol39_1910_Issue1_013_SALT_LAKE_CITY_UTAH_JUNE_1910.txt,"SALT LAKE CITY, UTAH. - - JUNE, 1910.",Unknown,Article,39,1910,1,82.22
4,Moral Fiction,0.800735138909752,WE_Vol34_1905_Issue2_016_APOLOGY_AND_EXPLANATION.txt,APOLOGY AND EXPLANATION.,Unknown,Article,34,1905,2,80.07
4,Moral Fiction,0.7818230577308528,WE_Vol36_1907_Issue1_013_THE_NEW_VOLUME_XXXVI.txt,THE NEW VOLUME XXXVI.,Unknown,Article,36,1907,1,78.18
4,Moral Fiction,0.7588501429358867,WE_Vol33_1904_Issue9_014_MARCH_SEVENTEEN.txt,MARCH SEVENTEEN.,A. W. C,Article,33,1904,9,75.89
4,Moral Fiction,0.7540078701221495,WE_Vol41_1912_Issue5_011_ANNUAL_GREETING.txt,Annual Greeting,WOMAN’S EXPONENT,Article,41,1912,5,75.4
4,Moral Fiction,0.747986976806439,WE_Vol34_1905_Issue1_016_AN_IMPORTANT_EVENT.txt,AN IMPORTANT EVENT.,Unknown,Article,34,1905,1,74.8
4,Moral Fiction,0.7465972507001071,WE_Vol35_1906_Issue7_013_THE_RELIEF_SOCIETY.txt,THE RELIEF SOCIETY.,Unknown,Relief Society Report,35,1906,7,74.66
4,Moral Fiction,0.7414042436792219,WE_Vol32_1903_Issue4_016_ZION_IS_GROWING.txt,Zion is Growing,Unknown,Article,32,1903,4,74.14
4,Moral Fiction,0.7310098053842427,WE_Vol40_1911_Issue1_012_THE_FORTIETH_VOLUME.txt,THE FORTIETH VOLUME.,Unknown,Article,40,1911,1,73.1
4,Moral Fiction,0.7235655644443494,WE_Vol41_1912_Issue3_024_NOTES_ABOUT_WOMEN.txt,Notes About Women,VINCY R. BARKER,Article,41,1912,3,72.36
4,Moral Fiction,0.7190839488521444,WE_Vol41_1912_Issue12_010_THE_RELIEF_SOCIETY_OUTLINE.txt,The Relief Society Outline,Unknown,Relief Society Report,41,1912,12,71.91
4,Moral Fiction,0.7089772570716704,WE_Vol37_1908_Issue4_010_EDITORIAL_NOTES.txt,Editorial Notes,WOMAN’S EXPONENT,Editorial,37,1908,4,70.9
5,Community Celebration,0.9755246365013904,WE_Vol32_1903_Issue2_016_MRS_JENNINGS_TEA_PARTY.txt,MRS. JENNINGS’ TEA PARTY.,Unknown,Article,32,1903,2,97.55
