doc_id,filename,Title,Author,Article_Type,volume_num,year,issue,dominant_topic,topic_label,proportion_pct,strong_exemplar
861,WE_Vol34_1905_Issue9_020_UINTAH_STAKE.txt,UINTAH STAKE.,Unknown,Article,34,1905,9,2,Relief Society Conference Reports,90.1,TRUE
814,WE_Vol34_1905_Issue7_021_RELIEF_SOCIETY_REPORTS.txt,Relief Society Reports,Unknown,Relief Society Report,34,1905,7,2,Relief Society Conference Reports,89.6,TRUE
1353,WE_Vol37_1908_Issue1_021_UINTAH_STAKE.txt,UINTAH STAKE,WOMAN’S EXPONENT,Article,37,1908,1,2,Relief Society Conference Reports,88.7,TRUE
1763,WE_Vol38_1909_Issue8_022_UINTAH.txt,Uintah,Unknown,Article,38,1909,8,2,Relief Society Conference Reports,88.7,TRUE
2216,WE_Vol40_1911_Issue6_021_BEAR_RIVER_STAKE.txt,Bear River Stake,"MARGARET W. MANNING,",Article,40,1911,6,2,Relief Society Conference Reports,88.4,TRUE
2035,WE_Vol39_1910_Issue9_022_RELIEF_SOCIETY_REPORTS_2.txt,RELIEF SOCIETY REPORTS.,"LUCY M. GREEN,",Relief Society Report,39,1910,9,2,Relief Society Conference Reports,87.2,TRUE
368,WE_Vol33_1904_Issue11_008_NEBO_STAKE.txt,NEBO STAKE.,Unknown,Article,33,1904,11,2,Relief Society Conference Reports,87,TRUE
507,WE_Vol33_1904_Issue5_020_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"LOUISE TULLER,",Relief Society Report,33,1904,5,2,Relief Society Conference Reports,86.6,TRUE
2091,WE_Vol40_1911_Issue1b_022_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,Unknown,Relief Society Report,40,1911,1,2,Relief Society Conference Reports,86.5,TRUE
293,WE_Vol32_1903_Issue8_022_R_S_REPORTS.txt,"R. S, REPORTS.",M. A. SORENSEN,Article,32,1903,8,2,Relief Society Conference Reports,85.9,TRUE
2333,WE_Vol41_1912_Issue12_021_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"ELIZA A. HAWKINS,",Relief Society Report,41,1912,12,2,Relief Society Conference Reports,85.2,TRUE
