word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
charity,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1805229187011718,0.1810212731361389,0.0860078724852319,250,250
charity,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1703439950942993,0.1705175638198852,0.0369213559965462,250,250
charity,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.178891122341156,0.1787313222885131,0.1668271961801504,250,249
charity,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1777052879333496,0.1769160032272339,0.1151644487686724,250,246
charity,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1784897446632385,0.1792440414428711,0.0566207512139256,250,250
charity,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1697514653205871,0.1700893640518188,0.054522991793459,250,250
charity,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1809329390525818,0.1781345605850219,0.0148054761567786,249,246
charity,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1881898641586303,0.1877968907356262,0.0640807548256001,249,250
charity,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1908473372459411,0.1889319419860839,0.2712850912794626,249,250
charity,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.188701331615448,0.1900506615638733,0.0222729808074309,246,250
charity,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1879509687423706,0.1886336803436279,0.1891193872134309,246,250
charity,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1859167218208313,0.1868094205856323,0.1057486394022564,250,250
service,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.2024190425872802,0.2036433815956115,0.0273686307673285,250,248
service,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1999505162239074,0.2026336193084716,0.1103541775658269,250,250
service,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.2019105553627014,0.2044495344161987,0.1345129521876739,250,250
service,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.2006757259368896,0.2022662758827209,0.1295513228405687,250,250
service,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.2004070281982422,0.2024595737457275,0.0644916403742572,250,249
service,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1949914097785949,0.1959980130195617,0.0506582273828155,248,250
service,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1958703994750976,0.196787416934967,0.0596440065245151,248,250
service,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1942754387855529,0.1940816640853881,0.0492322571234532,248,250
service,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.195187509059906,0.1953104734420776,0.032101472623227,248,249
service,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1878759860992431,0.1880043745040893,0.0073923357912585,250,250
service,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1875539422035217,0.1867595314979553,0.0096554008989226,250,250
service,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1884243488311767,0.1876924037933349,0.0088698060544634,250,249
service,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1873267292976379,0.1865431666374206,0.0037649562514139,250,250
service,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1881030797958374,0.1875611543655395,0.0265560415145568,250,249
service,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1867685914039611,0.1858537793159485,0.0285707875368068,250,249
woman,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1837252974510193,0.1862399578094482,0.0356483702396711,250,249
woman,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1838046908378601,0.1830552816390991,0.1036883991267791,250,250
woman,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1879575252532959,0.1889460086822509,0.1364046529225175,250,250
woman,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1942001581192016,0.1930586099624633,0.1419629497247845,250,250
woman,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1928284168243408,0.1932163834571838,0.1263763544827819,250,250
woman,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1854555010795593,0.1833155155181884,0.0507020146116146,249,250
woman,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1884037852287292,0.1882672905921936,0.0941553685065321,249,250
woman,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1938784718513488,0.1914609670639038,0.0658405346577773,249,250
woman,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1936515569686889,0.1928374767303466,0.0779048276958932,249,250
woman,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1783123612403869,0.1791841983795166,0.0093370131513485,250,250
woman,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1840677261352539,0.1823132634162902,0.0062360501699181,250,250
woman,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1846332550048828,0.1844240427017212,0.0142073711764483,250,250
woman,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1826819777488708,0.179228127002716,0.01600908896644,250,250
woman,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1836686730384826,0.1817107200622558,0.0146850102095958,250,250
woman,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1888282299041748,0.1873769760131836,0.0161593493427457,250,250
women,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1540743112564087,0.1539213061332702,0.013842923926846,250,250
women,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1642314791679382,0.1634107232093811,0.0268718132299242,250,250
women,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1580206751823425,0.1582365036010742,0.0235956110224143,250,250
women,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1677074432373047,0.166774034500122,0.1565218051096413,250,250
women,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1612658500671386,0.1605638861656189,0.0596134376440775,250,250
women,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1652590632438659,0.1660580039024353,0.0243042906678603,250,250
women,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1596546173095703,0.1612828373908996,0.0217829700269395,250,250
women,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.1679568886756897,0.1684200167655944,0.1322113481243776,250,250
women,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1628704071044922,0.1637747883796692,0.054348659454877,250,250
women,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1665248870849609,0.1679086089134216,0.0041257785872465,250,250
women,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.17196786403656,0.1719080209732055,0.0699664731759015,250,250
women,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1681912541389465,0.1686468720436096,0.0111963344503889,250,250
women,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1678942441940307,0.1679955124855041,0.0764730972407724,250,250
women,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1631954908370971,0.1634074449539184,0.0141634054289699,250,250
women,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1683046817779541,0.1659613251686096,0.0289436726087943,250,250
sister,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1633063554763794,0.1641203165054321,0.008208739356837,250,250
sister,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1814456582069397,0.1810558438301086,0.042159212279337,250,250
sister,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1796793937683105,0.1787828207015991,0.0072848619295089,250,250
sister,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.1695317029953003,0.1708496212959289,0.0058450862540993,250,250
sister,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1782003045082092,0.1768586039543151,0.0079114839930495,250,250
sister,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.1773543357849121,0.1767572164535522,0.0688962476496993,250,250
sister,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1747202277183532,0.1737580895423889,0.0228211295557759,250,250
sister,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.164864182472229,0.1658039093017578,0.0175920615099785,250,250
sister,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.172890305519104,0.1711768507957458,0.0245900636152729,250,250
sister,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1881142258644104,0.1853992342948913,0.0186489864116461,250,250
sister,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.1797013878822326,0.1790263652801513,0.0508909178788012,250,250
sister,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1871001720428466,0.1841509938240051,0.0232645290593993,250,250
sister,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1778340935707092,0.1801337599754333,0.0117872669535273,250,250
sister,1930-1939 vs 1950-1970,1930-1939,1950-1970,0.1862996816635131,0.1862897872924804,0.0050401514815238,250,250
sister,1940-1949 vs 1950-1970,1940-1949,1950-1970,0.1740198135375976,0.173606276512146,0.0064659939717676,250,250
mother,1872-1890 vs 1891-1914,1872-1890,1891-1914,0.1879884004592895,0.1885870099067688,0.0188904705932037,250,249
mother,1872-1890 vs 1915-1929,1872-1890,1915-1929,0.1935405731201172,0.1941418051719665,0.0280527367072024,250,250
mother,1872-1890 vs 1930-1939,1872-1890,1930-1939,0.1903272867202758,0.1907055377960205,0.0488832061780364,250,250
mother,1872-1890 vs 1940-1949,1872-1890,1940-1949,0.2011881470680236,0.2018876671791076,0.1019669189713416,250,250
mother,1872-1890 vs 1950-1970,1872-1890,1950-1970,0.1898499131202697,0.188366949558258,0.0277256483725888,250,250
mother,1891-1914 vs 1915-1929,1891-1914,1915-1929,0.192324697971344,0.1940138936042785,0.0397880405472721,249,250
mother,1891-1914 vs 1930-1939,1891-1914,1930-1939,0.1888203620910644,0.1903888583183288,0.058315992611255,249,250
mother,1891-1914 vs 1940-1949,1891-1914,1940-1949,0.2014919519424438,0.2035466432571411,0.1213826066258492,249,250
mother,1891-1914 vs 1950-1970,1891-1914,1950-1970,0.1878844499588012,0.1873133778572082,0.0296259057300657,249,250
mother,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.1908410787582397,0.1907907128334045,0.0085435380929807,250,250
mother,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.2005574703216552,0.2010145187377929,0.0378438938885361,250,250
mother,1915-1929 vs 1950-1970,1915-1929,1950-1970,0.1904655694961547,0.1883870959281921,0.0021345018323101,250,250
mother,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.1949038505554199,0.1938787102699279,0.0149808404701799,250,250
