topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,proportion_pct
3,Topic 3: Education,0.7799066963135328,954,WE_Vol40_1911_Issue1b_011_EARLY_PIONEER_EDUCATION.txt,EARLY PIONEER EDUCATION.,Unknown,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,77.99
3,Topic 3: Education,0.7791071061482964,167,WE_Vol32_1903_Issue1_034_ART_NOTES.txt,ART NOTES.,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,77.91
3,Topic 3: Education,0.7672043076185083,3899,WE_Vol41_1912_Issue1_004_THE_TRAINING_SCHOOL_FOR_NURSES.txt,The Training School for Nurses,Unknown,Article,Vol41,1912,WE,Womans_Exponent,Woman's Exponent,76.72
3,Topic 3: Education,0.7636033674003817,3347,WE_Vol38_1909_Issue9_006_A_REMARKABLE_WOMAN.txt,A REMARKABLE WOMAN.,Unknown,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,76.36
3,Topic 3: Education,0.7522354068894436,165,October_Vol2_09d_Art_Art_-_Utah_Artists.txt,Art - Utah Artists,,Article,Vol2,1915,October,Relief_Society_Magazine,Relief Society Magazine,75.22
3,Topic 3: Education,0.7442308119597317,908,March_Vol8_11b_Guide_Lessons_Work_and_Business.txt,Work and Business,,Guide,Vol8,1921,March,Relief_Society_Magazine,Relief Society Magazine,74.42
3,Topic 3: Education,0.736600784138366,482,WE_Vol37_1908_Issue1_022_CLASS_IN_OBSTETRICS.txt,CLASS IN OBSTETRICS.,Unknown,Article,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,73.66
4,Topic 4: Home-Making and Recipes,0.9962830921179824,571,June_Vol5_11_Article_Conservation_Pointers.txt,Conservation Pointers,,Article,Vol5,1918,June,Relief_Society_Magazine,Relief Society Magazine,99.63
4,Topic 4: Home-Making and Recipes,0.994571478680247,1946,May_Vol10_11_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Home,Vol10,1923,May,Relief_Society_Magazine,Relief Society Magazine,99.46
4,Topic 4: Home-Making and Recipes,0.9942333615231406,1948,August_Vol10_06_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Home,Vol10,1923,August,Relief_Society_Magazine,Relief Society Magazine,99.42
4,Topic 4: Home-Making and Recipes,0.9942191228974596,3774,August_Vol9_10_Article_Summer_Menus_Jeanette_A._Hyde.txt,Summer Menus Jeanette A. Hyde,,Article,Vol9,1922,August,Relief_Society_Magazine,Relief Society Magazine,99.42
4,Topic 4: Home-Making and Recipes,0.9939698018523029,2048,October_Vol2_03b_Home_Science_In_the_Kitchen_Laboratory.txt,In the Kitchen Laboratory,,Home,Vol2,1915,October,Relief_Society_Magazine,Relief Society Magazine,99.4
4,Topic 4: Home-Making and Recipes,0.9929156525009798,1329,April_Vol2_Misc.txt,April Vol2 Misc,,Misc,Vol2,1915,April,Relief_Society_Magazine,Relief Society Magazine,99.29
4,Topic 4: Home-Making and Recipes,0.9922388627602087,1849,March_Vol9_11_Article_Hotel_Utah_Food_Combinations_Louis_J._Theu.txt,Hotel Utah Food Combinations Louis J. Theu,Combinations Louis J. Theu,Article,Vol9,1922,March,Relief_Society_Magazine,Relief Society Magazine,99.22
4,Topic 4: Home-Making and Recipes,0.99146053890744,1763,January_Vol4_11_Home_Science_Home_Science_Department_Janette_A._Hyde.txt,Home Science Department Janette A. Hyde,Janette A. Hyde,Home,Vol4,1917,January,Relief_Society_Magazine,Relief Society Magazine,99.15
4,Topic 4: Home-Making and Recipes,0.9902003953555765,1855,August_Vol7_11_Article_Household_Hints_Janette_A._Hyde.txt,Household Hints Janette A. Hyde,Janette A. Hyde,Article,Vol7,1920,August,Relief_Society_Magazine,Relief Society Magazine,99.02
4,Topic 4: Home-Making and Recipes,0.9891486159331353,3714,April_Vol9_Misc_front_matter.txt,matter,,Article,Vol9,1922,April,Relief_Society_Magazine,Relief Society Magazine,98.91
