doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
2075,WE_Vol35_1906_Issue4_005_THE_LAWN_RELIEF_SOCIETY_SOCIAL.txt,THE LAWN RELIEF SOCIETY SOCIAL.,Unknown,Relief Society Report,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,57.5,TRUE
327,WE_Vol37_1908_Issue4_016_BIRTHDAY_PARTY.txt,BIRTHDAY PARTY.,Unknown,Article,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,57.2,TRUE
899,WE_Vol39_1910_Issue5_015_A_DELIGHTFUL_BANQUET.txt,A Delightful Banquet,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,57,TRUE
3609,WE_Vol39_1910_Issue7_013_FROM_OVER_THE_SEA.txt,From Over the Sea,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,56.8,TRUE
2429,WE_Vol33_1904_Issue3_043_SEPTEMBER_MEETING_D_R.txt,"SEPTEMBER MEETING, D. R,",WOMAN’S EXPONENT,Board/Meeting,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,56.3,TRUE
3136,December_Vol10_01_Frontispiece_Mother_and_Son_in_Role_of_Madonna_and_Child_Frontispiece.txt,Mother and Son in Role of Madonna and Child Frontispiece,,Frontispiece,Vol10,1923,December,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,56.2,TRUE
454,December_Vol5_11a_Article_Christmas_Suggestions.txt,Christmas Suggestions,,Article,Vol5,1918,December,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,56,TRUE
2419,WE_Vol36_1907_Issue9_012_MCDONALD_GOLDEN_WEDDING.txt,McDONALD GOLDEN WEDDING.,WOMAN’S EXPONENT,Article,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,55.5,TRUE
1831,WE_Vol38_1909_Issue6_012_A_HOME_WEDDING.txt,A Home Wedding,Unknown,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,55.1,TRUE
2694,July_Vol8_05a_Article_Our_Music_Forces_a_a_a_a_a.txt,Our Music Forces,,Article,Vol8,1921,July,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,54.7,TRUE
3764,March_Vol6_09_Suggestions_for_Anniversary_Day.txt,for Anniversary Day,,Article,Vol6,1919,March,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,54.7,TRUE
2160,February_Vol8_15b_Guide_Lessons_Guide_Lessons_for_April_c.txt,Guide Lessons for April,,Guide,Vol8,1921,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,54.6,TRUE
1039,WE_Vol35_1906_Issue9_021_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,54.3,TRUE
3184,January_Vol3_15_Poetry_Poems_by_Emmeline_B._Wells.txt,Poems by Emmeline B. Wells,,Poem,Vol3,1916,January,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,54.2,TRUE
1207,WE_Vol40_1911_Issue7_009_EXPLANATORY.txt,EXPLANATORY.,Unknown,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,53.5,TRUE
1040,WE_Vol36_1907_Issue8_013_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,53.3,TRUE
1669,WE_Vol33_1904_Issue11_016_A_HAPPY_ANNIVERSARY.txt,A HAPPY ANNIVERSARY.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,52.9,TRUE
2692,May_Vol3_02_Article_Music_Department.txt,Music Department,,Article,Vol3,1916,May,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,52.9,TRUE
1173,May_Vol4_05_Article_May_Entertainments_Morag.txt,May Entertainments Morag,,Article,Vol4,1917,May,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,52.3,TRUE
109,WE_Vol39_1910_Issue8_017_RELIEF_SOCIETY_ANNUAL_DAY.txt,RELIEF SOCIETY ANNUAL DAY,Unknown,Relief Society Report,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,51.9,TRUE
110,February_Vol10_04_Article_Relief_Society_Annual_Day.txt,Relief Society Annual Day,,Article,Vol10,1923,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,51.2,TRUE
2281,February_Vol4_16b_Guide_Lessons_Literature_-_The_Song_or_Lyric.txt,Literature - The Song or Lyric,,Guide,Vol4,1917,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,51.1,TRUE
3689,WE_Vol39_1910_Issue7_016_SOCIAL_NOTES_FOR_FEBRUARY.txt,SOCIAL NOTES FOR FEBRUARY.,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,50.9,TRUE
1735,June_Vol6_10a_Article_History_of_Instrumental_Music.txt,History of Instrumental Music,,Article,Vol6,1919,June,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,50.3,TRUE
2206,July_Vol8_10c_Guide_Lessons_Lesson_II_-_Work_and_Business.txt,Lesson II - Work and Business,,Guide,Vol8,1921,July,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,49.8,TRUE
179,May_Vol10_13_Poem_Aunt_Em's_Birthday.txt,Aunt Em's Birthday,,Article,Vol10,1923,May,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,49.7,TRUE
2150,April_Vol9_11c_Guide_Lessons_Lesson_III_-_Literature_-_John_Jaques.txt,Lesson III - Literature - John Jaques,,Guide,Vol9,1922,April,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,49.6,TRUE
180,WE_Vol33_1904_Issue9_018_AUNT_EM_S_BIRTHDAY_PARTY.txt,AUNT EM’S BIRTHDAY PARTY!,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,49.4,TRUE
4087,WE_Vol39_1910_Issue6_023_WEDDING_RECEPTION_AT_THE_BEE.txt,WEDDING RECEPTION AT THE BEE,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,49.1,TRUE
