Poem Rename Log - Vols 30-40
[medium] VolVol33_1946 January: January_Vol33_07_Article_The_Good_Inheritance_Miner.txt -> January_Vol33_07_Poem_The_Good_Inheritance_Miner.txt
[medium] VolVol33_1946 January: January_Vol33_11_Article_After_A_Benedict.txt -> January_Vol33_11_Poem_After_A_Benedict.txt
[medium] VolVol33_1946 January: January_Vol33_15_Article_The_Weight_of_Your_Dustin.txt -> January_Vol33_15_Poem_The_Weight_of_Your_Dustin.txt
[high] VolVol33_1946 January: January_Vol33_19_Article_Promise_Coles.txt -> January_Vol33_19_Poem_Promise_Coles.txt
[medium] VolVol33_1946 January: January_Vol33_28_Article_I_Know_a_Hendrickson.txt -> January_Vol33_28_Poem_I_Know_a_Hendrickson.txt
[high] VolVol33_1946 January: January_Vol33_34_Article_The_Morning_Cottam.txt -> January_Vol33_34_Poem_The_Morning_Cottam.txt
[high] VolVol33_1946 July: July_Vol33_16_Article_These_Things_I_Gabbott.txt -> July_Vol33_16_Poem_These_Things_I_Gabbott.txt
[high] VolVol33_1946 June: June_Vol33_01_Frontispiece_For_the_Frontispiece.txt -> June_Vol33_01_Poem_For_the_Frontispiece.txt
[medium] VolVol33_1946 June: June_Vol33_04_Article_Jewel_Robinson.txt -> June_Vol33_04_Poem_Jewel_Robinson.txt
[medium] VolVol33_1946 June: June_Vol33_20_Article_The_Origin_of_Larsen.txt -> June_Vol33_20_Poem_The_Origin_of_Larsen.txt
[high] VolVol33_1946 March: March_Vol33_10_Article_Late_Wangsgaard.txt -> March_Vol33_10_Poem_Late_Wangsgaard.txt
[medium] VolVol33_1946 May: May_Vol33_07_Article_Mother_McBride.txt -> May_Vol33_07_Poem_Mother_McBride.txt
[medium] VolVol33_1946 May: May_Vol33_09_Article_Sunset_Kirkwood.txt -> May_Vol33_09_Poem_Sunset_Kirkwood.txt
[high] VolVol33_1946 November: November_Vol33_09_Article_The_Jungle_Parton.txt -> November_Vol33_09_Poem_The_Jungle_Parton.txt
[high] VolVol33_1946 October: October_Vol33_01_Frontispiece_Yesterdays_Frontispiece.txt -> October_Vol33_01_Poem_Yesterdays_Frontispiece.txt
[high] VolVol33_1946 October: October_Vol33_03_Article_God_Speed_the_Anonymous.txt -> October_Vol33_03_Poem_God_Speed_the_Anonymous.txt
[medium] VolVol33_1946 October: October_Vol33_21_Article_Triolet_Candland.txt -> October_Vol33_21_Poem_Triolet_Candland.txt
[medium] VolVol33_1946 September: September_Vol33_17_Article_Song_Stewart.txt -> September_Vol33_17_Poem_Song_Stewart.txt
[high] VolVol34_1947 April: April_Vol34_01_Frontispiece_Mary_Magdalene.txt -> April_Vol34_01_Poem_Mary_Magdalene.txt
[high] VolVol34_1947 April: April_Vol34_09_Article_Prisoner_Stewart.txt -> April_Vol34_09_Poem_Prisoner_Stewart.txt
[medium] VolVol34_1947 April: April_Vol34_11_Article_A_Gull_at_Stock.txt -> April_Vol34_11_Poem_A_Gull_at_Stock.txt
[medium] VolVol34_1947 April: April_Vol34_12_Article_Walk_a_Little_Way_With_Gardner.txt -> April_Vol34_12_Poem_Walk_a_Little_Way_With_Gardner.txt
[high] VolVol34_1947 April: April_Vol34_20_Article_The_Challenge_of_a_Lund.txt -> April_Vol34_20_Poem_The_Challenge_of_a_Lund.txt
[medium] VolVol34_1947 April: April_Vol34_21_Article_Weber_Ekman.txt -> April_Vol34_21_Poem_Weber_Ekman.txt
