Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Woman's Exponent,Electa Bullock,Full name,2,0,2,0.06,1892–1908
Woman's Exponent,Elizabeth Bean,Full name,2,0,2,0.092,1885–1888
Woman's Exponent,Elizabeth Davis,Full name,2,0,2,0.044,1873–1876
Woman's Exponent,Elizabeth Wall,Full name,2,0,2,0.098,1895–1897
Woman's Exponent,Elmina S. Taylor,Full name,2,0,2,0.091,1876–1877
Woman's Exponent,Elvira Stevens Barney,Full name,2,0,2,0.027,1895–1906
Woman's Exponent,Emily G. Cluff,Full name,2,0,2,0.166,1885–1894
Woman's Exponent,Emily S. Richards,Full name,2,0,2,0.074,1886–1894
Woman's Exponent,Emma Jenson,Full name,2,0,2,0.026,1897–1897
Woman's Exponent,Emma S. Woodruff,Full name,2,0,2,0.186,1903–1909
Woman's Exponent,Emma Wells,Full name,2,0,2,0.109,1887–1887
Woman's Exponent,Equal Rights,Full name,2,0,2,0.04,1879–1889
Woman's Exponent,Esther C. Parkinson,Full name,2,0,2,0.088,1886–1886
Woman's Exponent,Eugene Field,Full name,2,0,2,0.062,1889–1891
Woman's Exponent,F. E. S.,Initials only,2,0,2,0.066,1889–1895
Woman's Exponent,Flora S. Hill,Full name,2,0,2,0.045,1879–1889
Woman's Exponent,Frances B. Hart,Full name,2,0,2,0.078,1876–1880
Woman's Exponent,Frances Ridley Havergal,Full name,2,0,2,0.029,1886–1905
Woman's Exponent,Frances Smith. Continued By,Full name,2,0,2,0.1,1893–1893
Woman's Exponent,GO. TO.,Initials only,2,0,2,0.041,1875–1875
Woman's Exponent,H. C.,Initials only,2,0,2,0.065,1878–1881
Woman's Exponent,H. M. B.,Initials only,2,0,2,0.12,1873–1874
Woman's Exponent,H. M. Whitney,Full name,2,0,2,0.029,1885–1889
Woman's Exponent,H. W. N.,Initials only,2,0,2,0.078,1896–1896
Woman's Exponent,Hannah Billings,Full name,2,0,2,0.083,1875–1887
Woman's Exponent,Hannah Tapfield King,Full name,2,0,2,0.124,1882–1893
Woman's Exponent,Harriet Taylor Upton,Full name,2,0,2,0.031,1892–1904
Woman's Exponent,Heber M. Wells,Full name,2,0,2,0.006,1897–1901
Woman's Exponent,I. P. W.,Initials only,2,0,2,0.056,1876–1879
Woman's Exponent,Invitation Of The President Of The,Full name,2,0,2,0.026,1905–1910
Woman's Exponent,Isabel M. W. Sears,Full name,2,0,2,0.093,1901–1903
Woman's Exponent,J. H. Heman,Full name,2,0,2,0,1881–1881
