Publication,Initials,Articles,Resembles (probable),Agreement,Mean confidence,Threshold,Also possible,Years
Woman's Exponent,J. M. S.,1,Lydia D. Alder,100%,0.589,Balanced,NA,1890–1890
Woman's Exponent,J. P.,1,Helen Mar Whitney,100%,0.835,Conservative,NA,1889–1889
Woman's Exponent,J. P. M.,1,Emmeline B. Wells,100%,0.929,Conservative,NA,1905–1905
Woman's Exponent,J. Q. C.,1,Augusta Joyce Crocheron,100%,0.552,Balanced,NA,1903–1903
Woman's Exponent,J. S. B.,1,Eliza R. Snow,100%,0.423,Below threshold,NA,1885–1885
Woman's Exponent,J. S. C.,1,Lydia D. Alder,100%,0.875,Conservative,NA,1889–1889
Woman's Exponent,J. S. P.,1,Helen Mar Whitney,100%,0.216,Below threshold,NA,1885–1885
Woman's Exponent,K. L. C.,1,Zina D. H. Young,100%,0.942,Conservative,NA,1888–1888
Woman's Exponent,L. B. C.,1,Helen Mar Whitney,100%,0.591,Balanced,NA,1905–1905
Woman's Exponent,L. C.,1,Hannah T. King,100%,0.467,Below threshold,NA,1887–1887
Woman's Exponent,L. E.,1,Zina D. H. Young,100%,0.602,Balanced,NA,1879–1879
Woman's Exponent,L. E. C.,1,Lydia D. Alder,100%,0.59,Balanced,NA,1898–1898
Woman's Exponent,L. E. W.,1,Zina D. H. Young,100%,0.406,Below threshold,NA,1881–1881
Woman's Exponent,L. L.,1,Emily Hill Woodmansee,100%,0.602,Balanced,NA,1872–1872
Woman's Exponent,L. L. S.,1,Zina D. H. Young,100%,0.667,Balanced,NA,1884–1884
Woman's Exponent,L. M.,1,Mary Ann M. Pratt,100%,0.29,Below threshold,NA,1879–1879
Woman's Exponent,L. M. R.,1,Lydia D. Alder,100%,0.559,Balanced,NA,1900–1900
Woman's Exponent,L. N. D.,1,Emily B. Spencer,100%,0.944,Conservative,NA,1899–1899
Woman's Exponent,L. P.,1,Hannah T. King,100%,0.428,Below threshold,NA,1877–1877
Woman's Exponent,L. S. C.,1,Zina D. H. Young,100%,0.664,Balanced,NA,1877–1877
Woman's Exponent,L. S. D.,1,L. M. Hewlings,100%,0.572,Balanced,NA,1891–1891
Woman's Exponent,L. S. M.,1,Emmeline B. Wells,100%,0.575,Balanced,NA,1896–1896
Woman's Exponent,L. T. F.,1,Eliza R. Snow,100%,0.87,Conservative,NA,1891–1891
Woman's Exponent,M. A. B.,1,Mary Ellen Kimball,100%,0.97,Conservative,NA,1875–1875
Woman's Exponent,M. A. C.,1,Helen Mar Whitney,100%,0.477,Below threshold,NA,1888–1888
Woman's Exponent,M. A. G.,1,Emily B. Spencer,100%,0.726,Balanced,NA,1889–1889
Woman's Exponent,M. A. H.,1,Lydia D. Alder,100%,0.607,Balanced,NA,1880–1880
Woman's Exponent,M. A. P.,1,Mary Ann M. Pratt,100%,0.925,Conservative,NA,1884–1884
Woman's Exponent,M. A. P. H.,1,Helen Mar Whitney,100%,0.93,Conservative,NA,1890–1890
Woman's Exponent,M. A. R. G.,1,Lydia D. Alder,100%,0.822,Conservative,NA,1889–1889
Woman's Exponent,M. A. W. S.,1,Lydia D. Alder,100%,0.947,Conservative,NA,1889–1889
Woman's Exponent,M. E. B.,1,Mary Ellen Kimball,100%,0.868,Conservative,NA,1884–1884
Woman's Exponent,M. E. H.,1,Emmeline B. Wells,100%,0.842,Conservative,NA,1890–1890
Woman's Exponent,M. E. S.,1,Augusta Joyce Crocheron,100%,0.982,Conservative,NA,1902–1902
Woman's Exponent,M. E. W.,1,Augusta Joyce Crocheron,100%,0.979,Conservative,NA,1872–1872
Woman's Exponent,M. F. C. M.,1,Ellis R. Shipp,100%,0.651,Balanced,NA,1888–1888
Woman's Exponent,M. I. H.,1,Helen Mar Whitney,100%,0.844,Conservative,NA,1880–1880
Woman's Exponent,M. L. G.,1,Lydia D. Alder,100%,0.957,Conservative,NA,1904–1904
Woman's Exponent,M. L. L.,1,Mary Ellen Kimball,100%,0.542,Below threshold,NA,1876–1876
