Publication,Alias,Type,Articles,Resembles (probable),Certainty,Agreement,Threshold,Also possible,Years
Woman's Exponent,E. D.,initials,1,Zina D. H. Young,56%,100%,Balanced,NA,1874–1874
Woman's Exponent,E. E. M.,initials,1,Zina D. H. Young,86%,100%,Conservative,NA,1876–1876
Woman's Exponent,E. E. W.,initials,1,Lydia D. Alder,44%,100%,Below threshold,NA,1888–1888
Woman's Exponent,E. H.,initials,1,Mary Ann M. Pratt,25%,100%,Below threshold,NA,1894–1894
Woman's Exponent,E. H. C.,initials,1,Mary Ellen Kimball,49%,100%,Below threshold,NA,1899–1899
Woman's Exponent,E. H. G.,initials,1,Emily B. Spencer,83%,100%,Conservative,NA,1892–1892
Woman's Exponent,E. H. H.,initials,1,Helen Mar Whitney,100%,100%,Conservative,NA,1904–1904
Woman's Exponent,E. H. L.,initials,1,Augusta Joyce Crocheron,44%,100%,Below threshold,NA,1891–1891
Woman's Exponent,E. J. F.,initials,1,Emmeline B. Wells,98%,100%,Conservative,NA,1879–1879
Woman's Exponent,E. J. S.,initials,1,Helen Mar Whitney,71%,100%,Balanced,NA,1895–1895
Woman's Exponent,E. K.,initials,1,M. J. Tanner,40%,100%,Below threshold,NA,1898–1898
Woman's Exponent,E. L. H.,initials,1,Helen Mar Whitney,34%,100%,Below threshold,NA,1878–1878
Woman's Exponent,E. M.,initials,1,Hannah T. King,80%,100%,Conservative,NA,1872–1872
Woman's Exponent,E. M. S.,initials,1,Emmeline B. Wells,66%,100%,Balanced,NA,1883–1883
Woman's Exponent,E. R. S.,initials,1,Augusta Joyce Crocheron,56%,100%,Balanced,NA,1891–1891
Woman's Exponent,E. R. S—M. D.,initials,1,Augusta Joyce Crocheron,68%,100%,Balanced,NA,1889–1889
Woman's Exponent,E. S. H.,initials,1,Emily B. Spencer,56%,100%,Balanced,NA,1886–1886
Woman's Exponent,E. S. T.,initials,1,Helen Mar Whitney,30%,100%,Below threshold,NA,1896–1896
Woman's Exponent,E. T. G.,initials,1,Augusta Joyce Crocheron,46%,100%,Below threshold,NA,1888–1888
Woman's Exponent,E. V. C.,initials,1,Mary Ellen Kimball,18%,100%,Below threshold,NA,1885–1885
Woman's Exponent,E. W.,initials,1,Eliza R. Snow,87%,100%,Conservative,NA,1879–1879
Woman's Exponent,E. W. C.,initials,1,Lydia D. Alder,51%,100%,Below threshold,NA,1904–1904
Woman's Exponent,E. W. H.,initials,1,Ellis R. Shipp,99%,100%,Conservative,NA,1893–1893
Woman's Exponent,F. B.,initials,1,Helen Mar Whitney,69%,100%,Balanced,NA,1884–1884
Woman's Exponent,F. M. A.,initials,1,Lydia D. Alder,64%,100%,Balanced,NA,1895–1895
Woman's Exponent,G. B. W.,initials,1,Ellis R. Shipp,33%,100%,Below threshold,NA,1912–1912
Woman's Exponent,G. R.,initials,1,Helen Mar Whitney,67%,100%,Balanced,NA,1883–1883
Woman's Exponent,G. R. B.,initials,1,Emmeline B. Wells,24%,100%,Below threshold,NA,1873–1873
Woman's Exponent,H. B. H.,initials,1,Ellis R. Shipp,85%,100%,Conservative,NA,1901–1901
Woman's Exponent,H. B. T.,initials,1,Emmeline B. Wells,65%,100%,Balanced,NA,1896–1896
Woman's Exponent,H. H.,initials,1,Hannah T. King,97%,100%,Conservative,NA,1888–1888
Woman's Exponent,H. H. S.,initials,1,Helen Mar Whitney,52%,100%,Below threshold,NA,1889–1889
Woman's Exponent,H. K.,initials,1,Augusta Joyce Crocheron,67%,100%,Balanced,NA,1875–1875
Woman's Exponent,H. L.,initials,1,Mary Ellen Kimball,88%,100%,Conservative,NA,1876–1876
Woman's Exponent,H. LW.,initials,1,Emily B. Spencer,58%,100%,Balanced,NA,1892–1892
Woman's Exponent,H. S.,initials,1,Augusta Joyce Crocheron,59%,100%,Balanced,NA,1882–1882
Woman's Exponent,I. E. R.,initials,1,Emily B. Spencer,36%,100%,Below threshold,NA,1909–1909
Woman's Exponent,I. F. S.,initials,1,Emily B. Spencer,52%,100%,Below threshold,NA,1899–1899
Woman's Exponent,I. G.,initials,1,Emmeline B. Wells,54%,100%,Below threshold,NA,1876–1876
Woman's Exponent,I. G. M.,initials,1,Helen Mar Whitney,84%,100%,Conservative,NA,1876–1876
Woman's Exponent,I. H. M.,initials,1,Hannah T. King,96%,100%,Conservative,NA,1877–1877
Woman's Exponent,I. V. H.,initials,1,Zina D. H. Young,50%,100%,Below threshold,NA,1876–1876
Woman's Exponent,IT.,initials,1,Emmeline B. Wells,100%,100%,Conservative,NA,1889–1889
Woman's Exponent,J. A. S.,initials,1,Zina D. H. Young,81%,100%,Conservative,NA,1875–1875
Woman's Exponent,J. B.,initials,1,Augusta Joyce Crocheron,63%,100%,Balanced,NA,1875–1875
Woman's Exponent,J. B. C.,initials,1,Emmeline B. Wells,60%,100%,Balanced,NA,1883–1883
Woman's Exponent,J. B. F.,initials,1,Helen Mar Whitney,56%,100%,Balanced,NA,1878–1878
Woman's Exponent,J. D. W.,initials,1,Emily B. Spencer,97%,100%,Conservative,NA,1886–1886
Woman's Exponent,J. E. D.,initials,1,Lydia D. Alder,58%,100%,Balanced,NA,1874–1874
Woman's Exponent,J. E. T.,initials,1,Emmeline B. Wells,45%,100%,Below threshold,NA,1875–1875
Woman's Exponent,"J. G,. B.",initials,1,Emily Hill Woodmansee,47%,100%,Below threshold,NA,1873–1873
Woman's Exponent,J. M. S.,initials,1,Lydia D. Alder,65%,100%,Balanced,NA,1890–1890
Woman's Exponent,J. P.,initials,1,Helen Mar Whitney,82%,100%,Conservative,NA,1889–1889
Woman's Exponent,J. P. M.,initials,1,Emmeline B. Wells,92%,100%,Conservative,NA,1905–1905
Woman's Exponent,J. Q. C.,initials,1,Augusta Joyce Crocheron,55%,100%,Balanced,NA,1903–1903
Woman's Exponent,J. S. B.,initials,1,Eliza R. Snow,44%,100%,Below threshold,NA,1885–1885
Woman's Exponent,J. S. C.,initials,1,Lydia D. Alder,91%,100%,Conservative,NA,1889–1889
Woman's Exponent,J. S. P.,initials,1,Helen Mar Whitney,21%,100%,Below threshold,NA,1885–1885
Woman's Exponent,K. L. C.,initials,1,Zina D. H. Young,93%,100%,Conservative,NA,1888–1888
Woman's Exponent,L. B. C.,initials,1,Helen Mar Whitney,56%,100%,Balanced,NA,1905–1905
Woman's Exponent,L. C.,initials,1,Hannah T. King,44%,100%,Below threshold,NA,1887–1887
Woman's Exponent,L. E.,initials,1,Zina D. H. Young,64%,100%,Balanced,NA,1879–1879
Woman's Exponent,L. E. C.,initials,1,Lydia D. Alder,57%,100%,Balanced,NA,1898–1898
Woman's Exponent,L. E. W.,initials,1,Zina D. H. Young,35%,100%,Below threshold,NA,1881–1881
Woman's Exponent,L. L.,initials,1,Emily Hill Woodmansee,39%,100%,Below threshold,NA,1872–1872
Woman's Exponent,L. L. S.,initials,1,Zina D. H. Young,65%,100%,Balanced,NA,1884–1884
Woman's Exponent,L. M.,initials,1,Lula Greene Richards,42%,100%,Below threshold,NA,1879–1879
Woman's Exponent,L. M. R.,initials,1,Lydia D. Alder,35%,100%,Below threshold,NA,1900–1900
Woman's Exponent,L. N. D.,initials,1,Emily B. Spencer,95%,100%,Conservative,NA,1899–1899
Woman's Exponent,L. P.,initials,1,Emmeline B. Wells,35%,100%,Below threshold,NA,1877–1877
Woman's Exponent,L. S. C.,initials,1,Zina D. H. Young,66%,100%,Balanced,NA,1877–1877
Woman's Exponent,L. S. D.,initials,1,L. M. Hewlings,56%,100%,Balanced,NA,1891–1891
